Quarter,HOR_US,HOR_NE,HOR_MW,HOR_S,HOR_W,HOR_METCC,HOR_METOCC,HOR_NONMET,HOR_lt25,HOR_25to29,HOR_30to34,HOR_35to44,HOR_45to54,HOR_55to64,HOR_gte65,HOR_NHWA,HOR_NHBA,HOR_NHORA,HOR_NHTMR,HOR_HIS,HOR_MCWC,HOR_MCWOC,HOR_OFWC,HOR_OFWOC,HOC_OTHTYP
1997 Q1,65.4,61.6,70.6,67.8,59,49.8,72.1,73.4,17.3,35.2,52.1,65.5,75.5,79.6,79.2,71.6,45,52.6,,42.6,76,84.6,37.5,66.4,49.2
1997 Q2,65.7,62.4,70.3,68.1,59.9,49.9,72.6,73.5,18.7,35,51.6,66.3,75.6,80.3,79.1,72.1,44.9,53.4,,43.3,76.8,84.9,38.7,67.3,49.2
1997 Q3,66,63,70.7,68.2,59.8,50.2,72.6,74,18.3,34.5,53.4,66.5,76.3,80.1,79.2,72.3,45.8,54.1,,43,76.8,84.9,38.7,66.2,49.7
1997 Q4,65.7,62.7,70.4,67.8,59.8,49.7,72.6,73.8,16.7,35.2,53.5,65.9,75.7,80.3,79.1,71.9,45.7,53.3,,44,76.6,85.1,39,65.7,48.9
1998 Q1,65.9,62.4,70.6,68.2,60.1,49.9,72.8,74.1,17.5,36.4,52.8,65.9,75.9,80.3,79.1,72.1,46,52.9,,44.4,76.6,85.1,40.1,65.8,49.4
1998 Q2,66,62.7,70.3,68.4,60.3,49.5,73,74.7,17.9,36.1,53.4,66.2,75.5,80.4,79.2,72.5,45.3,54.2,,43.9,77.3,85.1,40.1,66.4,49.3
1998 Q3,66.8,63.4,71.7,68.8,61.1,50.5,73.8,75,18.1,35.8,54.6,67.8,76.3,81.1,79.7,73.1,46.8,54.7,,44.9,77.6,85.8,40.5,66.7,50.5
1998 Q4,66.4,62,71.5,69,60.4,50.3,73.3,74.8,19.2,36.3,53.7,67.6,74.9,81.7,79.2,72.6,46.5,53.1,,45.7,77.7,85.7,40.9,65.2,49.5
1999 Q1,66.7,62.7,71.2,69.2,61,50.3,73.5,75.1,18.4,36.6,53.5,67,76.2,81.1,79.8,72.8,46.9,53.4,,46.2,77.3,85.6,41.4,65,50.4
1999 Q2,66.6,62.8,71.2,68.9,61.3,50.1,73.7,74.8,19,35.7,53.3,66.5,76.4,80.8,80.4,73.2,45.8,53.6,,44.9,77.7,85.5,40.8,65.9,49.9
1999 Q3,67,63.6,72.1,69.3,60.8,50.5,73.7,75.8,20.4,36.9,54.2,67.4,76.3,80.7,80.8,73.5,47,54.8,,45.5,77.8,85.7,42.3,66.7,50.5
1999 Q4,66.9,63.2,72.5,69.1,60.6,50.9,73.3,75.8,21.8,36.8,54.1,67.9,75.2,81.3,79.6,73.3,47.3,54.6,,45.5,77.6,85.8,43.1,65.5,50.3
2000 Q1,67.1,63.3,72.2,69.5,61.3,51.2,73.8,75,20.8,37.5,54.8,67.3,76,80.8,80.1,73.4,47.8,54.2,,45.7,77.5,86,42.2,65.6,50.8
2000 Q2,67.2,63.4,72.2,69.2,61.9,50.7,74,75.3,21.1,36.7,54.3,67.5,76.7,80.3,80.3,73.7,47.2,54.4,,45.4,77.9,86.3,42.7,65.2,50.5
2000 Q3,67.7,63.9,72.9,69.7,62.2,51.9,74.2,75.5,22.4,38.8,54.6,68.4,76.8,80.1,80.7,74.3,47.3,54.3,,46.7,78.8,85.9,44.2,66.5,51.3
2000 Q4,67.5,63.2,73.1,69.8,61.6,51.7,74.2,75.1,22.4,39.3,54.8,68.3,76.4,80.2,80.4,73.9,48.2,53,,47.5,78.9,86.2,43.9,66,50.9
2001 Q1,67.5,63.6,73.2,69.3,62,51.6,74.3,74.7,21,37.3,55.3,68.1,76.5,80.8,80.7,74,48.2,54.6,,46.1,78.4,86.2,43.6,66,51.3
2001 Q2,67.7,63.2,72.7,69.7,62.9,51.5,74.5,74.8,22.1,37.3,54.9,68.1,77.2,81.5,79.7,74.1,48.6,55.2,,46.1,78.7,86.7,43.9,65.2,51.4
2001 Q3,68.1,64.1,72.9,70.1,63.1,52.3,74.7,75.5,22.9,40.4,54.1,68.6,77.1,81.6,80.3,74.6,48.1,55.1,,48.1,79.3,86.8,44.8,66.5,51.9
2001 Q4,68,64,73.5,70.1,62.3,52.2,74.8,74.9,24.1,40.8,55,68.2,76.2,81.4,80.7,74.4,48.7,53.8,,48.8,78.9,86.6,44.5,66.7,52.3
2002 Q1,67.8,63.8,73.2,69.8,62.1,51.4,74.6,75.5,22.7,39,54.1,68.6,76,80.9,80.9,74.6,48.9,53.9,,46.4,78.4,86.6,43.6,66.5,52.1
2002 Q2,67.6,63.8,72.8,69.3,62.4,51.4,74.4,74.9,22.4,37.4,54.8,68.2,76.3,80.8,80.1,74.5,47.4,55.7,,46.1,78.7,86.8,42.3,66,51.8
2002 Q3,68,64.6,73.2,69.5,62.7,52.1,74.6,75.3,23.3,39.4,54.3,68.6,76.4,81.3,80.4,74.9,48.1,54.7,,47.1,78.5,86.8,43.7,65.9,52.5
2002 Q4,68.3,64.8,73.3,70.3,62.5,52,75.1,75.8,23.2,39.4,56.2,69,76.4,81.5,80.8,75,48.5,55.8,,48.3,78.9,86.9,44.2,66.8,52.6
2003 Q1,68,64.2,72.9,69.9,62.8,51.9,74.7,75.6,22,38.9,56.5,67.8,76.5,81.4,80.2,75,48.4,56.6,57.4,46.7,79,86.7,42.8,67.1,52.5
2003 Q2,68,64.2,72.8,69.9,63.2,52,74.6,75.9,23.2,39.6,55.6,67.8,76.3,81.6,80.2,75.2,48,56.3,56.7,46.2,79.3,87,43,66.6,52.1
2003 Q3,68.4,64.4,73.5,70,63.8,52.3,75.3,75.4,23.3,40.2,56.6,68.8,76.5,81.1,80.7,75.7,48.7,56.4,58.6,46.1,79.1,86.8,44.8,65.9,52.9
2003 Q4,68.6,64.7,73.5,70.5,63.8,53.1,75.2,75.5,22.8,40.6,57.3,69,77.2,81.3,80.8,75.5,50.1,57.3,59.4,47.7,78.9,87.3,44.5,66.3,53.2
2004 Q1,68.6,65.1,73.5,70.3,63.7,52.6,75.3,76.1,23.6,40,56.4,68.8,77,81.7,80.7,75.5,49.9,60.1,57.3,47.3,79.4,87.6,43.6,67.9,53.1
2004 Q2,69.2,65.4,74.2,70.9,64.5,52.9,76.1,77.2,25.7,40.8,57.6,69.4,77,82.4,81.1,76.2,50.1,59.4,61.2,47.4,80.2,87.7,46,66.8,53.7
2004 Q3,69,64.4,73.8,71,64.7,53.2,75.9,75.7,25.4,39.9,57.7,68.6,77.4,81.2,81.8,76.1,49,59.1,61.8,48.7,79.4,87.6,45.8,67.9,53.5
2004 Q4,69.2,65.2,73.7,71.5,63.9,53.8,75.4,76.4,25.9,40.1,58,70,77.4,81.6,80.5,76.2,49.7,59.7,61.1,48.9,79.9,87.7,45.8,68.5,53.5
