DATE,PresentHPI,LastYearsHPI
1988-01-01,68.859,63.965
1988-02-01,69.263,64.42400000000000
1988-03-01,69.639,64.735
1988-04-01,69.977,65.132
1988-05-01,70.426,65.565
1988-06-01,70.888,66.07300000000000
1988-07-01,71.354,66.508
1988-08-01,71.79900000000000,66.939
1988-09-01,72.24,67.331
1988-10-01,72.63600000000000,67.73900000000000
1988-11-01,73.072,68.107
1988-12-01,73.465,68.506
1989-01-01,73.947,68.859
1989-02-01,74.383,69.263
1989-03-01,74.778,69.639
1989-04-01,75.085,69.977
1989-05-01,75.306,70.426
1989-06-01,75.48,70.888
1989-07-01,75.658,71.354
1989-08-01,75.836,71.79900000000000
1989-09-01,76.058,72.24
1989-10-01,76.283,72.63600000000000
1989-11-01,76.521,73.072
1989-12-01,76.705,73.465
1990-01-01,76.89700000000000,73.947
1990-02-01,77.053,74.383
1990-03-01,77.20100000000000,74.778
1990-04-01,77.278,75.085
1990-05-01,77.297,75.306
1990-06-01,77.258,75.48
1990-07-01,77.138,75.658
1990-08-01,77.009,75.836
1990-09-01,76.85,76.058
1990-10-01,76.70100000000000,76.283
1990-11-01,76.37,76.521
1990-12-01,76.184,76.705
1991-01-01,75.916,76.89700000000000
1991-02-01,75.736,77.053
1991-03-01,75.569,77.20100000000000
1991-04-01,75.567,77.278
1991-05-01,75.766,77.297
1991-06-01,75.993,77.258
1991-07-01,76.083,77.138
1991-08-01,76.11,77.009
1991-09-01,76.194,76.85
1991-10-01,76.07600000000000,76.70100000000000
1991-11-01,76.014,76.37
1991-12-01,76.057,76.184
1992-01-01,76.086,75.916
1992-02-01,76.155,75.736
1992-03-01,76.27600000000000,75.569
1992-04-01,76.345,75.567
1992-05-01,76.398,75.766
1992-06-01,76.332,75.993
1992-07-01,76.264,76.083
1992-08-01,76.23,76.11
1992-09-01,76.238,76.194
1992-10-01,76.376,76.07600000000000
1992-11-01,76.558,76.014
1992-12-01,76.67400000000000,76.057
1993-01-01,76.78400000000000,76.086
1993-02-01,76.837,76.155
1993-03-01,76.868,76.27600000000000
1993-04-01,76.936,76.345
1993-05-01,77.03700000000000,76.398
1993-06-01,77.242,76.332
1993-07-01,77.429,76.264
1993-08-01,77.612,76.23
1993-09-01,77.794,76.238
1993-10-01,77.941,76.376
1993-11-01,78.149,76.558
1993-12-01,78.32600000000000,76.67400000000000
1994-01-01,78.59100000000000,76.78400000000000
1994-02-01,78.727,76.837
1994-03-01,78.85600000000000,76.868
1994-04-01,78.987,76.936
1994-05-01,79.221,77.03700000000000
1994-06-01,79.423,77.242
1994-07-01,79.595,77.429
1994-08-01,79.782,77.612
1994-09-01,79.92,77.794
1994-10-01,80.064,77.941
1994-11-01,80.149,78.149
1994-12-01,80.296,78.32600000000000
1995-01-01,80.42700000000000,78.59100000000000
1995-02-01,80.528,78.727
1995-03-01,80.598,78.85600000000000
1995-04-01,80.66200000000000,78.987
1995-05-01,80.704,79.221
1995-06-01,80.78400000000000,79.423
1995-07-01,80.937,79.595
1995-08-01,81.11,79.782
1995-09-01,81.306,79.92
1995-10-01,81.482,80.064
1995-11-01,81.619,80.149
1995-12-01,81.737,80.296
1996-01-01,81.835,80.42700000000000
1996-02-01,81.954,80.528
1996-03-01,82.194,80.598
1996-04-01,82.421,80.66200000000000
1996-05-01,82.61,80.704
1996-06-01,82.75200000000000,80.78400000000000
1996-07-01,82.929,80.937
1996-08-01,83.087,81.11
1996-09-01,83.257,81.306
1996-10-01,83.37700000000000,81.482
1996-11-01,83.553,81.619
1996-12-01,83.721,81.737
1997-01-01,83.956,81.835
1997-02-01,84.181,81.954
1997-03-01,84.45100000000000,82.194
1997-04-01,84.62300000000000,82.421
1997-05-01,84.86200000000000,82.61
1997-06-01,85.08,82.75200000000000
1997-07-01,85.33200000000000,82.929
1997-08-01,85.573,83.087
1997-09-01,85.851,83.257
1997-10-01,86.147,83.37700000000000
1997-11-01,86.633,83.553
1997-12-01,87.09300000000000,83.721
1998-01-01,87.615,83.956
1998-02-01,88.00300000000000,84.181
1998-03-01,88.44200000000000,84.45100000000000
1998-04-01,88.87900000000000,84.62300000000000
1998-05-01,89.36400000000000,84.86200000000000
1998-06-01,89.844,85.08
1998-07-01,90.31,85.33200000000000
1998-08-01,90.786,85.573
1998-09-01,91.259,85.851
1998-10-01,91.71800000000000,86.147
1998-11-01,92.2,86.633
1998-12-01,92.712,87.09300000000000
1999-01-01,93.208,87.615
1999-02-01,93.67200000000000,88.00300000000000
1999-03-01,94.21800000000000,88.44200000000000
1999-04-01,94.785,88.87900000000000
1999-05-01,95.345,89.36400000000000
1999-06-01,95.976,89.844
1999-07-01,96.59200000000000,90.31
1999-08-01,97.22,90.786
1999-09-01,97.863,91.259
1999-10-01,98.524,91.71800000000000
1999-11-01,99.155,92.2
1999-12-01,99.845,92.712
2000-01-01,100.551,93.208
2000-02-01,101.339,93.67200000000000
2000-03-01,102.12700000000000,94.21800000000000
2000-04-01,102.92200000000000,94.785
2000-05-01,103.677,95.345
2000-06-01,104.42400000000000,95.976
2000-07-01,105.054,96.59200000000000
2000-08-01,105.76700000000000,97.22
2000-09-01,106.538,97.863
2000-10-01,107.382,98.524
2000-11-01,108.302,99.155
2000-12-01,109.14,99.845
2001-01-01,109.846,100.551
2001-02-01,110.5,101.339
2001-03-01,111.10800000000000,102.12700000000000
2001-04-01,111.65100000000000,102.92200000000000
2001-05-01,112.163,103.677
2001-06-01,112.796,104.42400000000000
2001-07-01,113.491,105.054
2001-08-01,114.166,105.76700000000000
2001-09-01,114.811,106.538
2001-10-01,115.30800000000000,107.382
2001-11-01,115.855,108.302
2001-12-01,116.45300000000000,109.14
2002-01-01,117.14300000000000,109.846
2002-02-01,117.844,110.5
2002-03-01,118.68700000000000,111.10800000000000
2002-04-01,119.611,111.65100000000000
2002-05-01,120.72400000000000,112.163
2002-06-01,121.81300000000000,112.796
2002-07-01,122.88800000000000,113.491
2002-08-01,123.831,114.166
2002-09-01,124.78,114.811
2002-10-01,125.734,115.30800000000000
2002-11-01,126.669,115.855
2002-12-01,127.62300000000000,116.45300000000000
2003-01-01,128.461,117.14300000000000
2003-02-01,129.355,117.844
2003-03-01,130.148,118.68700000000000
2003-04-01,130.884,119.611
2003-05-01,131.735,120.72400000000000
2003-06-01,132.649,121.81300000000000
2003-07-01,133.776,122.88800000000000
2003-08-01,134.968,123.831
2003-09-01,136.29400000000000,124.78
2003-10-01,137.532,125.734
2003-11-01,138.79400000000000,126.669
2003-12-01,140.18,127.62300000000000
2004-01-01,141.64600000000000,128.461
2004-02-01,143.192,129.355
2004-03-01,145.059,130.148
2004-04-01,146.592,130.884
2004-05-01,148.185,131.735
2004-06-01,149.85,132.649
2004-07-01,151.338,133.776
2004-08-01,152.63300000000000,134.968
2004-09-01,154.179,136.29400000000000
2004-10-01,155.751,137.532
2004-11-01,157.52700000000000,138.79400000000000
2004-12-01,159.33,140.18
2005-01-01,161.28800000000000,141.64600000000000
2005-02-01,163.344,143.192
2005-03-01,165.812,145.059
2005-04-01,167.50100000000000,146.592
2005-05-01,169.351,148.185
2005-06-01,171.19,149.85
2005-07-01,172.86,151.338
2005-08-01,174.44,152.63300000000000
2005-09-01,176.437,154.179
2005-10-01,178.02700000000000,155.751
2005-11-01,179.68100000000000,157.52700000000000
2005-12-01,180.91,159.33
2006-01-01,182.32,161.28800000000000
2006-02-01,183.287,163.344
2006-03-01,184.364,165.812
2006-04-01,184.329,167.50100000000000
2006-05-01,184.15600000000000,169.351
2006-06-01,183.507,171.19
2006-07-01,183.067,172.86
2006-08-01,182.593,174.44
2006-09-01,182.799,176.437
2006-10-01,183.2,178.02700000000000
2006-11-01,183.611,179.68100000000000
2006-12-01,184.141,180.91
2007-01-01,184.518,182.32
2007-02-01,184.59900000000000,183.287
2007-03-01,184.15,184.364
2007-04-01,183.011,184.329
2007-05-01,181.601,184.15600000000000
2007-06-01,180.25400000000000,183.507
2007-07-01,179.111,183.067
2007-08-01,178.11700000000000,182.593
2007-09-01,177.558,182.799
2007-10-01,176.62400000000000,183.2
2007-11-01,175.14700000000000,183.611
2007-12-01,174.34100000000000,184.141
2008-01-01,173.13300000000000,184.518
2008-02-01,171.542,184.59900000000000
2008-03-01,170.054,184.15
2008-04-01,168.33700000000000,183.011
2008-05-01,166.658,181.601
