Date,FN30CPR,FN30WAC,FN30WALA,FN30WAM
Jun-22,9.3,3.53,34,320
May-22,9.9,3.51,34,320
Apr-22,11.4,3.49,34,320
Mar-22,14.2,3.49,34,320
Feb-22,13.2,3.49,34,320
Jan-22,14.8,3.5,34,320
Dec-21,18.7,3.51,34,320
Nov-21,20.2,3.53,34,320
Oct-21,22.2,3.55,34,320
Sep-21,24.1,3.57,35,319
Aug-21,24.6,3.6,35,319
Jul-21,22.2,3.62,35,319
Jun-21,24.6,3.64,35,318
May-21,23.4,3.67,36,318
Apr-21,28,3.7,37,317
Mar-21,35.4,3.75,38,316
Feb-21,31.8,3.79,39,315
Jan-21,30.8,3.84,39,314
Dec-20,35.1,3.89,40,313
Nov-20,33.1,3.94,41,312
Oct-20,36.9,3.99,42,311
Sep-20,35,4.04,43,310
Aug-20,32.8,4.09,44,309
Jul-20,32.7,4.13,45,308
Jun-20,32.5,4.17,46,307
May-20,29.2,4.21,47,306
Apr-20,29.7,4.24,48,305
Mar-20,23.6,4.27,49,304
Feb-20,16.6,4.28,49,304
Jan-20,14.8,4.29,49,304
Dec-19,17,4.3,49,304
Nov-19,17.1,4.32,49,304
Oct-19,21.2,4.33,49,304
Sep-19,19.3,4.34,49,304
Aug-19,17.4,4.35,49,304
Jul-19,16.5,4.36,49,304
Jun-19,12.8,4.36,49,304
May-19,13.2,4.36,49,304
Apr-19,11.2,4.36,49,304
Mar-19,9,4.35,48,305
Feb-19,7.2,4.35,48,305
Jan-19,6.6,4.34,48,306
Dec-18,7.1,4.33,47,306
Nov-18,7.6,4.32,47,306
Oct-18,8.8,4.31,47,306
Sep-18,8.1,4.3,47,307
Aug-18,10.3,4.29,47,307
Jul-18,10.2,4.28,46,307
Jun-18,10.8,4.28,46,307
May-18,10.8,4.27,46,307
Apr-18,9.9,4.26,46,307
Mar-18,10.2,4.26,46,308
Feb-18,8.9,4.26,46,308
Jan-18,9.4,4.26,45,308
Dec-17,10.7,4.26,45,308
Nov-17,11.1,4.27,45,308
Oct-17,12.3,4.27,45,308
Sep-17,11.4,4.27,45,309
Aug-17,12.6,4.28,45,309
Jul-17,11.6,4.28,45,309
Jun-17,12.6,4.28,45,309
May-17,11.7,4.28,44,309
Apr-17,9.9,4.28,44,309
Mar-17,10.8,4.28,44,309
Feb-17,8.8,4.28,44,310
Jan-17,11,4.29,44,310
Dec-16,16,4.3,44,310
Nov-16,18,4.32,44,310
Oct-16,19,4.33,44,310
Sep-16,20,4.35,44,310
Aug-16,21.2,4.36,44,310
Jul-16,15.8,4.38,44,309
Jun-16,17.1,4.39,44,309
May-16,15.7,4.4,44,310
Apr-16,14.8,4.41,44,310
Mar-16,15.6,4.42,44,310
Feb-16,10.5,4.43,43,310
Jan-16,9.5,4.43,43,310
Dec-15,12.4,4.44,43,311
Nov-15,10.9,4.45,43,311
Oct-15,12.6,4.45,42,311
Sep-15,12.6,4.46,42,311
Aug-15,12.8,4.47,42,311
Jul-15,14.4,4.47,42,312
Jun-15,16.3,4.49,42,312
May-15,15.9,4.5,42,312
Apr-15,16.6,4.51,42,312
Mar-15,19.2,4.52,42,312
Feb-15,15.6,4.54,41,312
Jan-15,11.6,4.54,41,312
Dec-14,13.5,4.55,41,313
Nov-14,11.5,4.56,41,313
Oct-14,11.9,4.57,40,313
Sep-14,11.9,4.57,40,314
Aug-14,12,4.58,40,314
Jul-14,12.7,4.59,40,314
Jun-14,12.3,4.59,39,314
May-14,11,4.6,39,315
Apr-14,10.5,4.6,39,315
Mar-14,10,4.61,38,315
Feb-14,8.4,4.61,38,316
Jan-14,9.2,4.62,38,316
Dec-13,11.5,4.63,37,317
Nov-13,11.3,4.63,37,317
Oct-13,12.6,4.64,37,317
Sep-13,13.4,4.65,37,317
Aug-13,17.8,4.67,37,317
Jul-13,22.3,4.7,38,316
Jun-13,24.5,4.73,38,316
May-13,27,4.77,39,315
Apr-13,25.9,4.81,39,315
Mar-13,26.2,4.85,40,314
Feb-13,26,4.89,40,314
Jan-13,29.5,4.94,41,313
Dec-12,30.7,4.99,41,313
Nov-12,29.6,5.03,41,312
Oct-12,31.4,5.09,42,311
Sep-12,28,5.12,42,311
Aug-12,31.2,5.16,43,311
Jul-12,28,5.2,43,311
Jun-12,25.8,5.23,43,310
May-12,24.8,5.26,43,310
Apr-12,23.7,5.3,44,310
Mar-12,25.8,5.32,44,310
Feb-12,25,5.36,44,309
Jan-12,21.6,5.38,44,309
Dec-11,23.6,5.41,44,309
Nov-11,25.2,5.44,44,309
Oct-11,24.4,5.46,44,309
Sep-11,21.4,5.47,44,309
Aug-11,16.8,5.49,44,310
Jul-11,14.9,5.5,43,310
Jun-11,14.9,5.51,43,311
May-11,13,5.52,42,311
Apr-11,13.4,5.53,42,311
Mar-11,15.4,5.54,42,312
Feb-11,15.5,5.56,42,312
Jan-11,19.5,5.58,42,312
Dec-10,25.8,5.6,41,312
Nov-10,27,5.63,42,312
Oct-10,25.6,5.66,42,312
Sep-10,24.9,5.69,42,312
Aug-10,23.6,5.71,42,312
Jul-10,18.5,5.73,41,312
Jun-10,17.5,5.74,41,313
May-10,28.1,5.76,41,313
Apr-10,28.9,5.78,40,314
Mar-10,27.7,5.81,40,314
Feb-10,14.7,5.83,39,315
Jan-10,15.4,5.84,39,315
Dec-09,18.2,5.86,39,316
Nov-09,14.5,5.87,38,316
Oct-09,15.4,5.89,38,316
Sep-09,13.2,5.9,37,317
Aug-09,14.8,5.92,37,317
Jul-09,18.2,5.95,37,317
Jun-09,22.9,5.98,37,317
May-09,24.2,6.03,38,316
Apr-09,22.1,6.07,37,317
Mar-09,22.2,6.1,37,317
Feb-09,23.2,6.14,38,317
Jan-09,17.2,6.17,37,317
Dec-08,8.3,6.17,37,318
Nov-08,5.2,6.18,36,318
Oct-08,7.8,6.18,35,319
Sep-08,6.2,6.18,35,320
Aug-08,6.5,6.17,34,320
Jul-08,7.6,6.17,34,321
Jun-08,8.9,6.17,33,321
May-08,10.3,6.18,33,322
Apr-08,13,6.19,33,322
Mar-08,14.2,6.19,33,322
Feb-08,16.3,6.2,32,322
Jan-08,9.6,6.21,32,322
Dec-07,9,6.2,32,323
Nov-07,7.7,6.19,32,322
Oct-07,8.4,6.18,32,323
Sep-07,7.4,6.17,32,323
Aug-07,9.2,6.16,32,323
Jul-07,9.7,6.14,31,323
Jun-07,10.9,6.13,31,323
May-07,11.9,6.13,31,323
Apr-07,11.8,6.13,31,323
Mar-07,11.8,6.12,31,323
Feb-07,10.1,6.12,31,324
Jan-07,11.5,6.12,30,324
Dec-06,12,6.11,30,324
Nov-06,10.9,6.11,30,325
Oct-06,11.7,6.1,29,325
Sep-06,10.4,6.09,29,325
Aug-06,11.6,6.07,29,326
Jul-06,10.7,6.06,29,326
Jun-06,12.4,6.04,28,326
May-06,12.6,6.03,28,327
Apr-06,11.4,6.03,28,327
Mar-06,13.6,6.02,27,327
Feb-06,11.2,6.02,27,328
Jan-06,10.8,6.01,27,328
