Date,FN30CPR,FN30WAC,FN30WALA,FN30WAM
6/1/22,9.3,3.53,34,320
5/1/22,9.9,3.51,34,320
4/1/22,11.4,3.49,34,320
3/1/22,14.2,3.49,34,320
2/1/22,13.2,3.49,34,320
1/1/22,14.8,3.5,34,320
12/1/21,18.7,3.51,34,320
11/1/21,20.2,3.53,34,320
10/1/21,22.2,3.55,34,320
9/1/21,24.1,3.57,35,319
8/1/21,24.6,3.6,35,319
7/1/21,22.2,3.62,35,319
6/1/21,24.6,3.64,35,318
5/1/21,23.4,3.67,36,318
4/1/21,28,3.7,37,317
3/1/21,35.4,3.75,38,316
2/1/21,31.8,3.79,39,315
1/1/21,30.8,3.84,39,314
12/1/20,35.1,3.89,40,313
11/1/20,33.1,3.94,41,312
10/1/20,36.9,3.99,42,311
9/1/20,35,4.04,43,310
8/1/20,32.8,4.09,44,309
7/1/20,32.7,4.13,45,308
6/1/20,32.5,4.17,46,307
5/1/20,29.2,4.21,47,306
4/1/20,29.7,4.24,48,305
3/1/20,23.6,4.27,49,304
2/1/20,16.6,4.28,49,304
1/1/20,14.8,4.29,49,304
12/1/19,17,4.3,49,304
11/1/19,17.1,4.32,49,304
10/1/19,21.2,4.33,49,304
9/1/19,19.3,4.34,49,304
8/1/19,17.4,4.35,49,304
7/1/19,16.5,4.36,49,304
6/1/19,12.8,4.36,49,304
5/1/19,13.2,4.36,49,304
4/1/19,11.2,4.36,49,304
3/1/19,9,4.35,48,305
2/1/19,7.2,4.35,48,305
1/1/19,6.6,4.34,48,306
12/1/18,7.1,4.33,47,306
11/1/18,7.6,4.32,47,306
10/1/18,8.8,4.31,47,306
9/1/18,8.1,4.3,47,307
8/1/18,10.3,4.29,47,307
7/1/18,10.2,4.28,46,307
6/1/18,10.8,4.28,46,307
5/1/18,10.8,4.27,46,307
4/1/18,9.9,4.26,46,307
3/1/18,10.2,4.26,46,308
2/1/18,8.9,4.26,46,308
1/1/18,9.4,4.26,45,308
12/1/17,10.7,4.26,45,308
11/1/17,11.1,4.27,45,308
10/1/17,12.3,4.27,45,308
9/1/17,11.4,4.27,45,309
8/1/17,12.6,4.28,45,309
7/1/17,11.6,4.28,45,309
6/1/17,12.6,4.28,45,309
5/1/17,11.7,4.28,44,309
4/1/17,9.9,4.28,44,309
3/1/17,10.8,4.28,44,309
2/1/17,8.8,4.28,44,310
1/1/17,11,4.29,44,310
12/1/16,16,4.3,44,310
11/1/16,18,4.32,44,310
10/1/16,19,4.33,44,310
9/1/16,20,4.35,44,310
8/1/16,21.2,4.36,44,310
7/1/16,15.8,4.38,44,309
6/1/16,17.1,4.39,44,309
5/1/16,15.7,4.4,44,310
4/1/16,14.8,4.41,44,310
3/1/16,15.6,4.42,44,310
2/1/16,10.5,4.43,43,310
1/1/16,9.5,4.43,43,310
12/1/15,12.4,4.44,43,311
11/1/15,10.9,4.45,43,311
10/1/15,12.6,4.45,42,311
9/1/15,12.6,4.46,42,311
8/1/15,12.8,4.47,42,311
7/1/15,14.4,4.47,42,312
6/1/15,16.3,4.49,42,312
5/1/15,15.9,4.5,42,312
4/1/15,16.6,4.51,42,312
3/1/15,19.2,4.52,42,312
2/1/15,15.6,4.54,41,312
1/1/15,11.6,4.54,41,312
12/1/14,13.5,4.55,41,313
11/1/14,11.5,4.56,41,313
10/1/14,11.9,4.57,40,313
9/1/14,11.9,4.57,40,314
8/1/14,12,4.58,40,314
7/1/14,12.7,4.59,40,314
6/1/14,12.3,4.59,39,314
5/1/14,11,4.6,39,315
4/1/14,10.5,4.6,39,315
3/1/14,10,4.61,38,315
2/1/14,8.4,4.61,38,316
1/1/14,9.2,4.62,38,316
12/1/13,11.5,4.63,37,317
11/1/13,11.3,4.63,37,317
10/1/13,12.6,4.64,37,317
9/1/13,13.4,4.65,37,317
8/1/13,17.8,4.67,37,317
7/1/13,22.3,4.7,38,316
6/1/13,24.5,4.73,38,316
5/1/13,27,4.77,39,315
4/1/13,25.9,4.81,39,315
3/1/13,26.2,4.85,40,314
2/1/13,26,4.89,40,314
1/1/13,29.5,4.94,41,313
12/1/12,30.7,4.99,41,313
11/1/12,29.6,5.03,41,312
10/1/12,31.4,5.09,42,311
9/1/12,28,5.12,42,311
8/1/12,31.2,5.16,43,311
7/1/12,28,5.2,43,311
6/1/12,25.8,5.23,43,310
5/1/12,24.8,5.26,43,310
4/1/12,23.7,5.3,44,310
3/1/12,25.8,5.32,44,310
2/1/12,25,5.36,44,309
1/1/12,21.6,5.38,44,309
12/1/11,23.6,5.41,44,309
11/1/11,25.2,5.44,44,309
10/1/11,24.4,5.46,44,309
9/1/11,21.4,5.47,44,309
8/1/11,16.8,5.49,44,310
7/1/11,14.9,5.5,43,310
6/1/11,14.9,5.51,43,311
5/1/11,13,5.52,42,311
4/1/11,13.4,5.53,42,311
3/1/11,15.4,5.54,42,312
2/1/11,15.5,5.56,42,312
1/1/11,19.5,5.58,42,312
12/1/10,25.8,5.6,41,312
11/1/10,27,5.63,42,312
10/1/10,25.6,5.66,42,312
9/1/10,24.9,5.69,42,312
8/1/10,23.6,5.71,42,312
7/1/10,18.5,5.73,41,312
6/1/10,17.5,5.74,41,313
5/1/10,28.1,5.76,41,313
4/1/10,28.9,5.78,40,314
3/1/10,27.7,5.81,40,314
2/1/10,14.7,5.83,39,315
1/1/10,15.4,5.84,39,315
12/1/09,18.2,5.86,39,316
11/1/09,14.5,5.87,38,316
10/1/09,15.4,5.89,38,316
9/1/09,13.2,5.9,37,317
8/1/09,14.8,5.92,37,317
7/1/09,18.2,5.95,37,317
6/1/09,22.9,5.98,37,317
5/1/09,24.2,6.03,38,316
4/1/09,22.1,6.07,37,317
3/1/09,22.2,6.1,37,317
2/1/09,23.2,6.14,38,317
1/1/09,17.2,6.17,37,317
12/1/08,8.3,6.17,37,318
11/1/08,5.2,6.18,36,318
10/1/08,7.8,6.18,35,319
9/1/08,6.2,6.18,35,320
8/1/08,6.5,6.17,34,320
7/1/08,7.6,6.17,34,321
6/1/08,8.9,6.17,33,321
5/1/08,10.3,6.18,33,322
4/1/08,13,6.19,33,322
3/1/08,14.2,6.19,33,322
2/1/08,16.3,6.2,32,322
1/1/08,9.6,6.21,32,322
12/1/07,9,6.2,32,323
11/1/07,7.7,6.19,32,322
10/1/07,8.4,6.18,32,323
9/1/07,7.4,6.17,32,323
8/1/07,9.2,6.16,32,323
7/1/07,9.7,6.14,31,323
6/1/07,10.9,6.13,31,323
5/1/07,11.9,6.13,31,323
4/1/07,11.8,6.13,31,323
3/1/07,11.8,6.12,31,323
2/1/07,10.1,6.12,31,324
1/1/07,11.5,6.12,30,324
12/1/06,12,6.11,30,324
11/1/06,10.9,6.11,30,325
10/1/06,11.7,6.1,29,325
9/1/06,10.4,6.09,29,325
8/1/06,11.6,6.07,29,326
7/1/06,10.7,6.06,29,326
6/1/06,12.4,6.04,28,326
5/1/06,12.6,6.03,28,327
4/1/06,11.4,6.03,28,327
3/1/06,13.6,6.02,27,327
2/1/06,11.2,6.02,27,328
1/1/06,10.8,6.01,27,328
12/1/05,13.8,6.01,26,329
11/1/05,15.4,6.01,26,329
10/1/05,18.4,6.02,26,329
9/1/05,19.4,6.02,25,329
8/1/05,23.9,6.03,25,329
7/1/05,23,6.05,25,329
6/1/05,22.4,6.05,25,330
5/1/05,19.2,6.06,25,330
4/1/05,18.7,6.07,24,330
3/1/05,23.8,6.08,24,331
2/1/05,17.8,6.09,24,331
1/1/05,17,6.1,23,332
12/1/04,21.7,6.11,23,332
11/1/04,21.6,6.12,22,333
10/1/04,20.5,6.13,22,333
9/1/04,19.6,6.14,21,334
8/1/04,19.5,6.14,21,334
7/1/04,18.6,6.15,21,335
6/1/04,23,6.16,20,335
5/1/04,27.7,6.18,20,336
4/1/04,36.7,6.2,20,336
3/1/04,31.3,6.23,20,336
2/1/04,23.9,6.25,19,336
1/1/04,18.3,6.27,19,337
12/1/03,22.7,6.28,19,337
