Refi Incentive(1/10th bp),Refi Incentive(1/10th bp) Description,Credit Score,Credit Score Description,Factor Date,Current Remaining Principal Balance ,Item Count ,Weighted Average Gross Coupon ,Weighted Average Maturity ,Weighted Average Loan Age ,Weighted Average Original Loan Size ,Weighted Average Loan Size ,Original Loan Amount ,CPR 1M ,CCR 1M (Curtailment) 
-2000,<=-2,-999,N.A.,7/1/2022,2673313963,17519,3.974294936,242.3011521,101.9389465,274269.9559,209984.4684,3711670000,,
-2000,<=-2,550,<=550,7/1/2022,46994727.11,703,3.293825039,112.0946814,95.62984892,177528.3808,102409.9505,93473000,,
-2000,<=-2,680,>550 and <=680,7/1/2022,91802229285,434827,3.072157198,289.6376966,16.92797085,301352.1345,287275.3141,99260936000,,
-2000,<=-2,740,>680 and <=740,7/1/2022,4.88876E+11,1933870,3.009505744,306.4043347,17.84160037,346281.8535,330693.2689,5.24217E+11,,
-2000,<=-2,29999,>740,7/1/2022,1.40754E+12,5404895,2.90814847,296.5606395,20.19360089,366104.9361,345753.5336,1.54387E+12,,
-1750,>-2 and <=-1.75,-999,N.A.,7/1/2022,597310329.4,2925,3.722257414,320.7577153,77.12615233,309322.1272,265784.134,712768000,,
-1750,>-2 and <=-1.75,550,<=550,7/1/2022,71310757.46,799,3.700437047,172.9016066,99.43676265,184030.2789,129143.1883,110978000,,
-1750,>-2 and <=-1.75,680,>550 and <=680,7/1/2022,19463005287,101862,3.669620919,302.7356561,28.7333996,296043.7184,277943.8605,21859066000,,
-1750,>-2 and <=-1.75,740,>680 and <=740,7/1/2022,60974752104,301432,3.6793547,295.531438,40.89102045,310554.9124,284355.8525,70006142000,,
-1750,>-2 and <=-1.75,29999,>740,7/1/2022,1.28602E+11,682355,3.683760866,280.2307281,52.78697292,306913.1075,271651.6804,1.5585E+11,,
-1500,>-1.75 and <=-1.5,-999,N.A.,7/1/2022,1692978181,9673,3.978156826,349.2321262,88.38290765,258881.2778,227054.8063,1955032000,,
-1500,>-1.75 and <=-1.5,550,<=550,7/1/2022,113799010.8,1185,3.938409006,195.3857102,102.4832645,184691.8527,136225.2408,166004000,,
-1500,>-1.75 and <=-1.5,680,>550 and <=680,7/1/2022,18861000506,105634,3.932105706,297.2425663,35.82635693,277540.9045,257799.9306,21384695000,,
-1500,>-1.75 and <=-1.5,740,>680 and <=740,7/1/2022,60674461220,314579,3.929968416,294.6772335,45.26191972,295910.5916,269776.1926,69701058000,,
-1500,>-1.75 and <=-1.5,29999,>740,7/1/2022,1.18191E+11,660214,3.927283892,282.4378198,54.23239525,292996.0905,260175.5989,1.42773E+11,,
-1250,>-1.5 and <=-1.25,-999,N.A.,7/1/2022,946109005.6,5461,4.203920785,343.3365509,82.89819078,259180.5228,228299.9564,1092954000,,
-1250,>-1.5 and <=-1.25,550,<=550,7/1/2022,164590299,1433,4.190471738,220.8292704,103.2703219,202207.7358,157745.183,222054000,,
-1250,>-1.5 and <=-1.25,680,>550 and <=680,7/1/2022,13185075726,81834,4.191484099,283.6957848,52.51668924,260902.6348,235649.0859,15372647000,,
-1250,>-1.5 and <=-1.25,740,>680 and <=740,7/1/2022,39235550114,223940,4.188079438,284.480052,57.44258081,279369.6267,249781.1105,46046145000,,
-1250,>-1.5 and <=-1.25,29999,>740,7/1/2022,68216376162,424495,4.1851556,273.4796581,64.31355102,274360.4839,239750.3404,84138872000,,
-1000,>-1.25 and <=-1,-999,N.A.,7/1/2022,596851481.3,3660,4.442400453,347.5379214,85.79939618,246816.5025,218420.9309,687993000,,
-1000,>-1.25 and <=-1,550,<=550,7/1/2022,167856710.7,1434,4.437775288,230.9107788,101.6142776,194895.0702,155078.9917,218746000,,
-1000,>-1.25 and <=-1,680,>550 and <=680,7/1/2022,13347186691,83566,4.437751438,286.7002731,52.07795732,257130.4146,233636.8361,15416802000,,
-1000,>-1.25 and <=-1,740,>680 and <=740,7/1/2022,33733531407,197137,4.434185998,287.324169,55.89019409,276473.9747,249372.1453,39380444000,,
-1000,>-1.25 and <=-1,29999,>740,7/1/2022,51407524256,332630,4.43279493,276.070856,62.63185719,273448.3962,241529.204,63504958000,,
-750,>-1 and <=-0.75,-999,N.A.,7/1/2022,997146039.9,6319,4.647305407,359.146315,87.49684124,235567.5819,211200.2598,1126337000,,
-750,>-1 and <=-0.75,550,<=550,7/1/2022,160792464.6,1365,4.687413417,235.6221126,100.9301677,194962.2355,157282.3227,206550000,,
-750,>-1 and <=-0.75,680,>550 and <=680,7/1/2022,10892975097,70401,4.686942729,284.9663679,58.80621515,249403.8636,225216.815,12623049000,,
-750,>-1 and <=-0.75,740,>680 and <=740,7/1/2022,23700901331,146522,4.686693493,283.9105636,61.53036708,267413.758,239862.8401,27885453000,,
-750,>-1 and <=-0.75,29999,>740,7/1/2022,35024915883,238307,4.687956406,274.5852418,67.0376931,266485.6022,235399.7347,43400550000,,
-500,>-0.75 and <=-0.5,-999,N.A.,7/1/2022,472825238.2,3400,4.954310066,343.3075302,97.60048923,214247.8017,190196.9936,545533000,,
-500,>-0.75 and <=-0.5,550,<=550,7/1/2022,116571052,1016,4.919013293,236.666203,105.3999268,190566.054,153010.288,150926000,,
-500,>-0.75 and <=-0.5,680,>550 and <=680,7/1/2022,8972909393,57656,4.921788988,290.8526173,55.3273257,252548.9874,230698.244,10271195000,,
-500,>-0.75 and <=-0.5,740,>680 and <=740,7/1/2022,18932403956,116487,4.918268544,289.0632076,58.64372552,273023.1535,248009.5588,22040709000,,
-500,>-0.75 and <=-0.5,29999,>740,7/1/2022,27043287228,181043,4.916884669,279.7275285,65.18611894,277890.2634,249441.9714,33056369000,,
-250,>-0.5 and <=-0.25,-999,N.A.,7/1/2022,174500614.7,1378,5.187922487,332.1560376,98.54055404,202418.9955,177451.5229,207393000,,
-250,>-0.5 and <=-0.25,550,<=550,7/1/2022,69523157.9,588,5.189404397,232.9845646,115.3327605,192625.1621,153925.7314,88811000,,
-250,>-0.5 and <=-0.25,680,>550 and <=680,7/1/2022,4562880804,31444,5.192068891,285.1299016,64.19070564,238744.5638,215559.204,5281795000,,
-250,>-0.5 and <=-0.25,740,>680 and <=740,7/1/2022,8666570049,56738,5.192826797,286.5637314,63.35028754,263543.9041,239069.2707,10125730000,,
-250,>-0.5 and <=-0.25,29999,>740,7/1/2022,11650920605,78689,5.192920696,286.3100712,61.79629154,283121.3272,258903.6406,13939844000,,
0,>-0.25 and <=0,-999,N.A.,7/1/2022,170347090.3,1455,5.437813768,324.4539059,102.0195109,194562.559,170223.9541,204411000,,
0,>-0.25 and <=0,550,<=550,7/1/2022,55269244.58,489,5.423708324,215.9130788,132.838643,203516.1247,156788.6626,74443000,,
0,>-0.25 and <=0,680,>550 and <=680,7/1/2022,3675692032,25215,5.431195418,284.8293057,66.10210348,248950.0964,225320.0978,4301058000,,
0,>-0.25 and <=0,740,>680 and <=740,7/1/2022,6134061142,39534,5.426240342,288.7681233,62.48684275,278695.8927,254872.938,7213860000,,
0,>-0.25 and <=0,29999,>740,7/1/2022,7556299252,49785,5.422951499,292.1843533,57.94650437,295033.9013,272854.678,8980586000,,
250,>0 and <=0.25,-999,N.A.,7/1/2022,119871288.1,1126,5.687670748,319.6097306,105.8641369,175086.9859,151897.4609,144929000,,
250,>0 and <=0.25,550,<=550,7/1/2022,21455945.67,235,5.683484628,204.4932576,143.5419604,175929.8496,130697.5858,30346000,,
250,>0 and <=0.25,680,>550 and <=680,7/1/2022,2149993617,15609,5.683664497,284.1967242,68.03782348,243812.8298,221143.3145,2563611000,,
250,>0 and <=0.25,740,>680 and <=740,7/1/2022,3216098826,21254,5.683265103,288.8304296,63.90946837,282679.17,259103.785,3838175000,,
250,>0 and <=0.25,29999,>740,7/1/2022,3429236417,24548,5.680433678,288.1110085,63.10714774,286303.3378,263279.3695,4176352000,,
29999,>0.25,-999,N.A.,7/1/2022,327438655,5050,6.327828477,266.0734832,140.4175326,158951.0238,128588.2086,507564000,,
29999,>0.25,550,<=550,7/1/2022,74950306.63,1537,7.178538546,144.4539225,201.3066225,122962.5563,80264.25109,134214000,,
29999,>0.25,680,>550 and <=680,7/1/2022,5460815548,62396,6.374442712,206.0253199,143.797936,194168.7091,153878.2941,7831688000,,
29999,>0.25,740,>680 and <=740,7/1/2022,6019384888,61736,6.27114535,210.7769329,139.1899522,218442.6871,174330.1203,8585316000,,
29999,>0.25,29999,>740,7/1/2022,5504657356,58802,6.230232058,214.0072435,134.5989136,224834.5707,181521.7762,7994962000,,
-2000,<=-2,-999,N.A.,6/1/2022,2225607830,15194,4.085276766,228.4378912,106.0971601,266617.2245,198942.7213,3156151000,14.17785873,0.291096558
-2000,<=-2,550,<=550,6/1/2022,13675882.4,222,3.0020361,94.94747837,96.96995983,189938.2703,101789.6388,30187000,11.17331849,2.166912976
-2000,<=-2,680,>550 and <=680,6/1/2022,51519032918,245175,2.826108667,269.7237864,15.34735998,297756.3236,283417.1721,55549258000,8.592225776,0.542543673
-2000,<=-2,740,>680 and <=740,6/1/2022,3.31659E+11,1273589,2.839329806,300.6808262,15.53768458,350813.5812,335981.6214,3.53013E+11,7.155154353,0.518610626
-2000,<=-2,29999,>740,6/1/2022,1.1123E+12,4065318,2.784727579,295.4007213,16.7094562,373486.6129,355033.27,1.20231E+12,6.618895953,0.819573431
