Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
08/01/06,0.043208993,10.39795411,5.313396508,7.682304925,15.54421039,24.61019773,17.43051917,45.9721068,0.000861241,17.35646174,19.5788549,163.9300765
09/01/06,-4.18109159,8.13779466,11.54965831,16.69070372,22.12522464,35.50301667,-0.723918672,0.004769956,-0.860137975,9.724874959,35.56276486,133.5336595
10/01/06,-0.940290803,16.85702786,16.81329301,19.73377399,8.809187709,15.72378002,38.49818481,0.738795551,0.247249639,14.97770785,33.51052346,164.9692331
11/01/06,-1.448630914,14.27489093,32.47563055,19.50320797,23.42481351,-0.359787145,0.258699617,0.035528925,,21.40381098,36.86431119,146.4324756
12/01/06,-1.452848549,32.516596,16.44651321,29.47460206,0.051572974,0.075300917,0.301865383,0.25659219,,19.63223739,28.06295714,125.3653887
01/01/07,-1.452851396,12.72233816,9.103682489,24.07920356,14.01545251,54.8567838,0.222125522,0.005095648,-0.0000291,6.237486283,23.90464073,143.6939282
02/01/07,-1.457427364,18.9101246,9.608578052,28.65091581,-0.026357037,25.75615617,0.304570444,0.874494029,-0.00038345,20.68629911,28.26626932,131.5732397
03/01/07,-0.462324281,15.58686877,30.63385416,6.523156891,0.181073096,42.04393564,80.35129124,95.9847959,,17.45422547,24.51710847,312.8139854
04/01/07,-1.467027683,21.68891541,7.116438148,18.88867046,5.738842955,0.096608102,0.319790875,-1.093632368,0.000884196,11.86382876,21.26447589,84.41779475
05/01/07,-1.467476987,8.38175336,7.054605904,13.30293352,0.101587297,42.04969051,0.680583098,1.303087254,0.000459777,14.54080937,27.49167561,113.4397087
06/01/07,-0.464358899,11.35029813,11.58624973,1.73961879,0.04820457,0.042570852,0.287373774,-0.083962578,0.003267727,12.64197637,27.8289161,64.98015457
07/01/07,3.243805077,20.51909891,6.231210121,29.6180678,15.42239857,5.656428681,6.020963131,35.37484591,0.210170601,13.42072282,28.26965212,163.9873637
08/01/07,1.969440111,15.33927876,14.00215836,9.985365637,8.952615471,2.170695644,3.948443401,-0.403857258,-0.099046083,16.2102291,24.79475238,96.87007552
09/01/07,5.248478878,13.1592125,10.09968885,25.21321732,5.135605936,6.883824625,0.364603249,0.133801984,0.334534916,10.30873089,23.25711244,100.1388116
10/01/07,7.182607333,20.72250901,32.97513376,0.080979989,7.766801469,30.34945927,0.088459534,0.207196888,0.696940356,21.26454158,24.19009971,145.5247289
11/01/07,10.37916033,15.7134238,8.721229891,6.688688183,6.578590553,17.96911155,-0.178968805,0.133080907,-1.369077217,22.99995008,23.48292579,111.1181151
12/01/07,-1.422712073,11.75584053,10.0642894,0.096995106,-0.065485367,-0.006880073,0.079467111,0.698711965,12.21751572,7.234725395,16.41869007,57.07115778
01/01/08,-1.423926604,12.69019431,3.811654931,7.971454867,0.542334655,0.171219279,0.631898907,0.006692157,6.023649656,8.601602552,13.32344393,52.35021864
02/01/08,,2.502552514,0.080364571,0.21690955,0.051009424,-1.154811931,0.000426166,6.097240887,-1.429958223,8.666666713,16.05457583,31.0849755
03/01/08,,11.22694911,0.204908164,11.59987387,0.011204445,0.042778259,-0.145319721,6.164062159,-1.431559273,10.12011373,17.09789223,54.89090297
04/01/08,,0.067224715,0.144852666,0.183164,0.156093876,0.102565848,1.309606714,6.240130534,-1.43782405,18.11639988,19.14648142,44.0286956
05/01/08,,5.195254548,4.199716103,0.068161081,0.159147381,0.151379302,-1.194204595,9.660194683,-1.439637949,5.859791746,16.36688493,39.02668723
06/01/08,-1.441688226,6.097957373,7.660101466,12.53942051,0.065814414,0.122875403,-0.094312852,-0.00159011,9.794570663,7.850018955,15.09698774,57.69015534
07/01/08,99.61500039,6.670569318,12.46386042,3.783888287,5.437676264,0.336128047,0.242251775,0.626537686,0.155775176,16.870492,14.603774,160.8059534
08/01/08,0.016306682,5.831303574,14.43230018,0.164164624,0.470741028,9.290100936,0.122803489,-0.049671533,-0.300108085,7.862429179,17.80934873,55.6497188
09/01/08,0.006976286,12.34604169,10.72381266,11.84010133,0.376664278,0.126906895,-0.119170049,-0.093430856,-0.297644817,12.14021746,24.77638711,71.82686199
10/01/08,-1.455821849,7.852050451,13.09552897,3.21802876,20.32141003,0.109030776,-0.125737369,0.154189981,0.001150239,8.2709247,22.59892123,74.03967592
11/01/08,-0.794965925,9.182414971,10.08777232,9.800383378,8.692581121,0.227661756,0.411110992,-1.054394755,-0.066918508,16.08426148,20.62460254,73.19450937
12/01/08,-0.793610076,10.04963681,17.2553625,1.493945521,0.285208763,0.148919095,0.422383768,0.148382645,-0.172750685,10.4430841,18.0433183,57.32388074
01/01/09,,34.11084489,25.43311615,-0.146202299,0.153212546,-0.167492993,-0.797143586,,,0.033752854,25.04672438,83.66681194
02/01/09,,33.9127471,-0.384258887,0.152405446,-0.171233457,-0.795984517,,,,38.97129119,32.46718684,104.1521537
03/01/09,,0.350753761,-0.004652962,99.33291934,-0.069593444,-0.799847576,,,,0.037823017,19.86845596,118.7158581
04/01/09,,0.069191824,0.01077759,0.158562548,-0.170694909,-0.803659124,,,,14.42772916,15.96941297,29.66132006
05/01/09,,-0.069386319,-0.046940187,-0.044707089,-0.802923363,,,,,0.043571706,18.9860558,18.06567055
06/01/09,,0.203099445,-0.110102082,-0.086078562,-0.802182684,,,,,0.03216897,19.32095141,18.5578565
07/01/09,,27.32289611,0.198083616,1.817989619,-0.32661565,-0.051753442,-0.806351732,,,0.003098118,15.41830849,43.57565513
08/01/09,,0.211585963,0.011481366,5.435928205,-0.043898123,-0.810861682,,,,0.071406541,19.69740292,24.57304519
09/01/09,,0.626271066,0.035759928,0.033894491,0.144198462,-0.810475598,,,,10.30513886,18.16380428,28.49859149
10/01/09,,0.038066058,1.684781438,0.003463089,-0.087161051,-0.810187864,,,,0.150997438,17.45984499,18.4398041
11/01/09,,0.033009561,0.088251149,0.236265447,-0.041400256,,,,,0.537444639,15.72636444,16.57993498
12/01/09,,0.029955606,2.779685508,0.189269361,-0.044757826,,,,,8.08804713,17.54131634,28.58351612
01/01/10,,3.511582921,-0.103236037,0.168913948,-0.038420839,,,,,0.076046831,12.90399205,16.51887887
02/01/10,,21.60763498,16.04157672,22.41786332,0.13365629,-0.047028578,,,,30.10799253,95.83422881,186.0959241
03/01/10,,5.854725875,0.636079353,0.622544602,-0.04572774,,,,,14.5249598,36.11521023,57.70779212
04/01/10,,20.71049981,15.54264338,0.205786949,-0.009206792,,,,,4.355720415,27.0726317,67.87807546
05/01/10,,3.68254003,0.992133253,0.057246923,0.615263814,0.105174667,,,,4.692377833,20.31395692,30.45869344
06/01/10,,6.801522984,0.21094188,38.41609986,-0.008821246,,,,,9.297038865,21.40179553,76.11857787
07/01/10,,0.205963767,0.319382058,-0.010753606,,,,,,0.164884868,19.85051783,20.52999492
08/01/10,,-0.050638531,0.304820001,-0.009211833,,,,,,14.77116547,19.53428805,34.55042316
09/01/10,,0.23787749,0.153443538,,,,,,,0.217802384,17.78013156,18.38925497
10/01/10,,25.96847289,-0.001065007,,,,,,,0.081447449,19.75172948,45.80058481
11/01/10,,0.387032442,2.625980472,,,,,,,13.42099735,19.23906385,35.67307411
12/01/10,,0.397785235,0.800337324,0.040617501,,,,,,0.338579418,20.05087005,21.62818953
01/01/11,,17.38492304,0.253939065,0.210418573,0.587186218,0.101030498,,,,4.580847236,16.87261366,39.99095829
02/01/11,,0.120092938,0.119406391,0.32976369,0.672069169,0.174533927,0.004060135,,,5.787753897,16.01306828,23.22074843
03/01/11,,2.647775408,6.47122618,0.288414966,0.330187865,13.2255926,0.043690822,,,6.216046631,16.98971699,46.21265146
04/01/11,,4.304147272,0.407896271,2.251019811,0.501203383,0.347384298,0.03396966,,,1.088687663,15.24109031,24.17539867
05/01/11,,4.308193274,1.818620619,5.263618624,0.31583389,0.977290264,0.003878969,,,4.512436367,16.47427504,33.67414705
06/01/11,,5.576352209,0.621514938,0.579239033,0.313418243,0.05023856,,,,5.091380664,9.660306703,21.89245035
07/01/11,,7.960082744,0.61368325,0.322482181,0.9923703,0.033848637,,,,7.249836568,14.97217817,32.14448185
08/01/11,,3.992729346,0.303306267,0.297858264,0.13357159,-1.960830078,,,,2.21725181,12.31033507,17.29422227
09/01/11,,16.93986567,0.372433782,0.709763025,-0.013513156,,,,,4.492351776,14.19003201,36.69093311
10/01/11,,7.099061741,0.824402091,2.003169841,,,,,,6.42152896,15.49234213,31.84050476
11/01/11,,6.994632216,0.605738549,0.011285491,0.000855742,,,,,3.122298153,14.51784904,25.25265919
12/01/11,,0.2295236,0.032981608,1.2979244,,,,,,5.92187808,14.00198908,21.48429677
01/01/12,,0.287302617,0.011029121,2.579155679,,,,,,0.286458861,12.22465046,15.38859674
02/01/12,,7.910163598,18.18258057,1.592558802,,,,,,0.345814329,12.65912933,40.69024663
03/01/12,,0.213603438,0.322643887,1.376911459,,,,,,6.257683483,14.53588894,22.70673121
04/01/12,,0.466970283,-0.023662668,1.211011283,-2.064689155,-0.001245122,,,,4.405782515,12.91972195,16.91388909
05/01/12,,8.185734177,0.158083277,1.019031355,2.023472304,0.001309463,,,,0.347881401,15.66213021,27.39764219
06/01/12,,0.245631332,0.33846349,0.270787201,-0.0000371,0.001833734,,,,0.198678695,15.07279697,16.12815432
07/01/12,,6.645409795,1.030897557,-1.290032833,-0.861122728,,,,,4.217304754,11.33725187,21.07970842
08/01/12,,15.07816231,0.440494244,-0.326980613,-0.011958833,,,,,0.905751781,13.14399657,29.22946546
09/01/12,,0.203982401,-0.126434225,0.236852368,-0.003558705,,,,,0.428966746,10.67451481,11.4143234
10/01/12,,0.248907197,0.386816518,0.196851368,0.285502124,,,,,0.517950595,10.87834976,12.51437756
11/01/12,,0.426952633,0.304786412,0.497282883,,,,,,20.43314816,11.25121733,32.91338742
12/01/12,,0.431689725,0.264588847,0.003979864,,,,,,6.620119586,11.43317793,18.75355595
01/01/13,,0.329707287,1.187841195,0.005165057,-0.000110015,,,,,2.329377862,12.49994266,16.35192405
02/01/13,,0.345023246,7.595540513,-0.202736336,0.011432492,-0.000369325,,,,1.877981793,12.62412276,22.25099514
03/01/13,,7.542340775,0.62810046,0.140913121,0.073347736,-0.000856858,,,,0.281262408,13.88547474,22.55058238
04/01/13,,5.073542059,0.573762678,0.330685818,0.018585829,-0.001158159,,,,0.177385876,12.80859806,18.98140216
05/01/13,,5.308093124,0.291152877,-0.076208464,0.810573965,-0.0000503,,,,7.705039456,12.74699767,26.78559833
06/01/13,,0.388349701,0.34345872,0.373098817,-0.407572555,-0.000714491,,,,1.946101613,12.55660099,15.1993228
07/01/13,,1.014780006,1.861831586,0.229717712,0.479385482,4.269788298,0.36730851,0.001781394,,3.94409397,15.44576291,27.61444987
08/01/13,0.001031935,5.915854045,1.105736149,1.150362344,7.836624799,0.330874013,0.314648273,0.043202327,0.008236103,6.74870993,17.24300941,40.69828933
09/01/13,-0.000432981,4.87705716,3.716799686,5.573599316,0.183360356,3.171403964,0.321797083,0.043036058,0.008099508,5.501476579,15.57454306,38.97073979
10/01/13,-0.000264577,3.263628007,4.302592949,3.833290683,1.162502478,0.392179883,13.63767055,0.078747714,0.004542531,4.980650389,13.55186561,45.20740622
11/01/13,,7.08619701,4.771907193,4.037217175,6.427645339,5.726339574,4.155934703,0.234481367,0.000583403,3.897238417,13.78412949,50.12167367
12/01/13,,5.443078638,5.885576225,7.105489024,0.185640321,0.342322802,0.225119901,-0.02665115,-0.001404621,2.0305752,14.00167544,35.19142178
01/01/14,0.000794679,5.671059213,6.088593196,5.091919906,2.821600777,2.854477641,7.318151413,4.323933297,0.552775845,6.982133307,14.60410543,56.3095447
02/01/14,0.000137392,5.197293859,1.769265904,7.376661652,6.937920868,0.561659939,8.786299044,0.093332557,-0.798425911,4.259306267,11.07327698,45.25672855
03/01/14,,4.155378853,1.881762883,1.717878464,1.751892322,0.340212989,0.115513925,0.01732968,-1.00562215,6.506251376,11.04517858,26.52577692
04/01/14,,2.897788932,3.58451936,3.32438325,8.661041617,3.339778456,0.243067627,0.035211947,0.52411999,4.097559401,11.75507735,38.46254793
05/01/14,,6.625924137,2.894454238,2.670039366,0.297778984,0.270972273,0.488204781,0.103190768,2.295623603,3.316507738,12.66087979,31.62357568
