Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
08/01/06,0.283354481,17.93086928,1.721163269,4.924760967,9.294902875,1.048178519,11.49906768,0.92603179,-0.089675395,8.540072092,13.18645353,69.26517909
09/01/06,-0.000641824,16.58189826,8.603920936,4.627049458,26.1669785,1.904126402,2.642431151,-0.087715391,0.664670818,5.474382235,6.37349771,72.95059826
10/01/06,0.130834434,0.820656387,3.289144449,1.323177396,0.974034294,3.288020713,0.00340073,0.247675433,0.120646793,18.53816388,17.12035491,45.85610942
11/01/06,0.060058342,8.073642993,1.54815894,2.70693664,2.60998045,0.027048548,2.744395137,0.379334096,99.01571286,10.1792381,18.70778755,146.0522937
12/01/06,0.000421896,11.57035329,1.363775006,9.726969613,0.151428148,1.383060062,0.273727186,97.03120086,0.172047153,12.55257178,23.25477794,157.4803329
01/01/07,-0.001000318,4.883999868,6.23085925,0.627308183,18.42245223,0.512858281,80.58879445,1.390815058,0.171196933,10.44266553,21.38035594,144.6503054
02/01/07,0.00087924,7.01114743,2.849209819,0.314675164,0.891192091,22.92754779,0.826429176,0.173489143,0.17490113,5.157810594,23.12105419,63.44833577
03/01/07,0.062112817,8.551464853,13.15281932,2.642393277,7.444333558,0.683842524,1.70299566,0.015005535,0.114765636,8.842537594,22.71942384,65.93169461
04/01/07,-0.000385374,8.713588693,5.5764675,0.830019757,5.858201353,6.285305017,66.40785713,0.001681747,0.081668612,2.759691639,19.47692723,115.9910233
05/01/07,98.80563952,9.56001606,8.699570664,16.82292951,0.788171882,1.087167287,0.379448227,0.000525775,0.080708971,17.20603139,20.61542112,174.0456304
06/01/07,0.083251707,27.44390529,7.232610834,17.90740926,0.442887868,-0.076394948,1.513389492,0.015340818,-0.0000757,21.26982637,20.30356386,96.13571485
07/01/07,0.47558253,11.28279585,8.354704699,7.436939369,6.114768254,21.97988282,13.87529494,1.345278127,0.226280966,14.88900405,26.42257449,112.4031061
08/01/07,0.316249277,13.38809655,19.3521364,7.570453055,13.09972465,11.29799318,32.49468626,15.54149817,0.697882704,13.40356412,25.38183869,152.5441231
09/01/07,-0.348778836,11.44700627,5.684287392,11.17546367,3.836457257,7.173146633,2.223950667,1.98551915,-0.189950319,11.43922116,23.82775639,78.25407943
10/01/07,0.050505728,23.51018483,7.221327411,4.720789904,0.328341331,14.24303717,1.87366995,1.176035208,0.000327186,13.54641424,17.57260586,84.24323882
11/01/07,0.050892139,11.7010335,7.55159418,12.21370393,5.669068411,10.30730597,0.964522413,0.09532454,0.000460385,11.70295642,23.8930008,84.14986269
12/01/07,-0.001563941,7.67597439,1.796202923,6.953892139,1.749346269,23.29842018,0.201404063,1.271991571,1.062975275,7.816609003,7.144986886,58.97023876
01/01/08,0.000957619,7.871008712,20.2047147,3.213976269,-0.225717746,2.070716767,0.310751979,-0.912441624,0.223423124,8.529058248,8.949716752,50.2361648
02/01/08,-0.00229958,3.937068186,0.80691183,-0.257364694,6.793418671,82.74506866,0.419112848,0.22346473,0.000995966,7.068936366,13.98483535,115.7201483
03/01/08,0.001049301,14.78668895,15.92412702,0.608677123,11.64130329,0.214812072,-0.000938666,2.014317703,,9.76402475,10.8670839,65.82114544
04/01/08,1.735973861,11.14077591,2.488620226,2.876273383,1.256483922,1.36427939,0.435993695,8.024831633,,8.852213964,17.18063582,55.3560818
05/01/08,-1.764466476,9.299530093,0.417561656,7.620151354,1.44197665,11.9552227,0.304328497,58.15270679,,9.063393745,15.88590304,112.376308
06/01/08,-0.000476784,4.892001648,6.469326519,1.589015057,4.200872503,1.645174337,2.555051166,0.319166651,0.139166433,7.044571217,12.75428661,41.60815536
07/01/08,99.94069988,7.405971741,6.791807061,3.997111572,3.187615455,0.421344439,8.619960951,9.306996084,11.0221782,13.49842285,18.70289675,182.895005
08/01/08,0.318994614,11.99655078,4.755264134,3.572189943,5.850740497,1.866132795,0.679161913,1.074087895,25.92715804,14.89956481,13.82713361,84.76697903
09/01/08,0.321536326,10.01726932,4.301845832,3.297243266,2.471176986,2.185072449,6.15945457,10.29678682,0.258768143,9.548013024,23.9586589,72.81582564
10/01/08,-0.364690224,4.4108225,5.799265334,2.793904017,2.23220557,2.845395671,0.389899773,0.330359194,0.137349171,9.465034176,20.81779194,48.85733712
11/01/08,-0.364201678,4.321722477,2.757069539,1.990960416,3.967071691,1.725954519,5.780689945,2.595020377,0.36480787,6.773256134,20.0175713,49.92992259
12/01/08,-0.363743339,5.512884336,5.41706914,4.656681142,0.288825154,2.906993221,8.642773819,11.164832,0.141330041,5.717641813,9.82154303,53.90683036
01/01/09,,1.139508675,2.910727822,0.765091901,0.263976959,0.297050831,-0.363315507,,,8.177230485,16.82593237,30.01620354
02/01/09,,12.24232155,5.564665916,0.303556807,99.73454511,-0.362918488,,,,6.434033649,24.78560417,148.7018087
03/01/09,,3.228343594,3.536913206,0.578501518,0.267428959,,-0.372181503,,,8.860210755,23.6494229,39.74863943
04/01/09,,3.005130017,5.929021159,0.300793283,0.089335724,-0.362234941,,,,0.617729966,26.31934935,35.89912456
05/01/09,,14.47334667,0.772742414,0.065837224,-0.371594913,,,,,1.009150704,26.74351837,42.69300047
06/01/09,,0.906402186,0.359171351,0.980295673,-0.361678986,,,,,13.28712906,23.91068696,39.08200624
07/01/09,,12.42675594,19.26404903,7.492634738,0.326192105,23.27124442,,-0.371137788,,15.93161575,24.61394887,102.9553031
08/01/09,,13.03304812,2.701930486,38.29286615,1.042196863,,-0.370967261,,,9.181547539,16.20159609,80.08221799
09/01/09,,5.17284915,5.775063457,14.34011381,0.517944049,,-0.370830264,,,6.531041117,13.94895677,45.91513809
10/01/09,,9.282450538,20.91679184,10.62980178,9.240730672,0.232069034,,,,6.110531538,17.52906137,73.94143677
11/01/09,,12.05258212,1.17574575,0.742363199,,0.224905854,,,,2.535786249,18.73180867,35.46319184
12/01/09,,6.050259597,10.8034899,0.85458882,,0.217670161,,,,26.63540343,20.50952444,65.07093635
01/01/10,,2.374784022,0.998681338,5.948087128,,0.229890173,,,,28.85989644,19.62363378,58.03497288
02/01/10,,2.98252552,22.99657923,1.270044327,4.681451385,0.22259954,,,,31.34264247,70.3230998,133.8189423
03/01/10,,16.14035951,0.862960083,0.990348739,,0.225044962,,,,18.50917582,24.52559038,61.25347949
04/01/10,,8.067018608,1.267970041,1.04135542,,0.227485035,,,,13.57631627,20.81755992,44.99770529
05/01/10,,18.88989787,4.536200737,0.964470565,2.769271455,0.229919746,,,,7.881137939,20.02200597,55.29290428
06/01/10,,9.785180043,1.661197532,19.01757571,,0.232349081,,,,21.85785793,19.79422726,72.34838756
07/01/10,,35.49123918,2.77264479,,0.22486909,,,,,9.224274963,21.13488024,68.84790826
08/01/10,,0.891448735,1.349778086,0.227239825,,,,,,1.850932218,24.68449729,29.00389615
09/01/10,,5.660644225,-0.000555886,0.229604542,,,,,,7.320783924,24.02049466,37.23097147
10/01/10,,1.952834896,0.189386959,,,,,,,12.26729984,28.89724151,43.30676321
