Credit Score Description,(All),,,,,,
Orig LTV Description,(Multiple Items),,,,,,
,,,,,,,
Average of CPR 1M ,Column Labels,,,,,,
Row Labels,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5
8/1/17,,-4.165599712,-5.293863499,,,-2.554387962,-1.650328904
9/1/17,,6.492358967,6.125305399,7.344341255,4.242415143,10.36695988,13.81253605
10/1/17,,6.790659832,6.433621165,4.71419644,2.544773896,9.048522743,12.24083572
11/1/17,,6.735364781,6.19279687,4.443826569,2.49767877,8.858634961,12.3586151
12/1/17,,7.578554321,5.622243559,5.88832027,4.425310926,8.581891157,12.45156139
1/1/18,,5.275914673,5.579254092,4.695761048,2.636594521,7.458628488,11.34954847
2/1/18,1.284975445,6.761247432,5.044241876,4.991474992,4.19226864,7.185009957,9.778400992
3/1/18,3.873267427,7.157517194,6.247746249,6.068342601,3.866729099,10.16910366,11.12019669
4/1/18,6.942862343,9.336671069,6.903853316,6.255727602,6.128743592,8.749351544,11.30060824
5/1/18,6.569865052,9.056301639,7.075031693,8.806882068,7.371719153,10.56804271,11.32584786
6/1/18,4.561807252,9.437222488,8.19949488,7.696876497,6.874781409,11.16104692,13.23035052
7/1/18,4.439725041,9.391598189,7.25838108,7.253351169,6.032721734,9.900166502,12.06685275
8/1/18,4.34822816,9.303257288,8.190309979,8.387680569,7.205976646,10.61300821,10.99350599
9/1/18,3.891496369,7.679823718,6.141352347,6.694732433,4.717908948,8.404170822,9.376279518
10/1/18,4.164736097,7.303608341,7.57723796,5.983259043,6.085923178,9.620438629,10.29340628
11/1/18,4.926719169,7.195393842,6.269712149,6.73074477,4.912592554,8.225629866,10.11430554
12/1/18,4.525348667,7.357079017,7.023031247,6.571510368,5.637955137,8.0874148,9.212207711
1/1/19,4.972498369,6.434024805,5.502806227,5.029860315,4.535000002,7.268299134,7.972318978
2/1/19,5.397536764,7.051598759,6.146775277,5.354163685,5.164037952,6.766979608,8.030714949
3/1/19,4.13876089,8.236402734,6.651041575,6.747500525,4.64382028,7.932438662,10.89358352
4/1/19,4.793055013,9.014107233,8.387250873,6.505072766,7.29292211,10.27830956,12.07643319
5/1/19,6.791350559,10.09880087,9.344789102,8.342634826,6.485434192,11.31377801,13.64748061
6/1/19,4.066591425,9.025710944,6.098387622,7.299450014,4.752305208,10.01339025,12.12355661
7/1/19,,9.149218693,8.144037197,5.599467897,2.733111002,11.33261149,16.90069778
8/1/19,,9.957147986,7.23394835,7.324830668,4.976317979,12.71057556,15.40843619
9/1/19,,9.378900153,6.98511716,6.25077927,4.09525386,12.48306074,18.1845717
10/1/19,,9.134658327,8.026405709,4.717667724,0.320599537,13.25105139,18.28135027
11/1/19,,8.149731008,6.352103628,7.12016828,0.315610313,13.13384157,15.84390472
12/1/19,,9.906037766,6.719883933,4.807700242,0.544595402,11.01306188,16.363205
1/1/20,,8.488045722,6.361734517,5.008573847,0.55005104,9.988109389,14.95532966
2/1/20,,9.229438424,6.491811288,5.074564252,0.379448511,12.81520777,15.0914506
3/1/20,,11.43423767,5.933007049,6.073000108,0.472928405,16.22040109,19.89940555
4/1/20,,12.37132359,6.920155867,4.015515867,,18.29791238,23.51758739
5/1/20,,10.48464118,6.346036081,4.361084049,,17.31874552,24.41711616
6/1/20,,14.89888802,11.15937406,4.223606228,,21.74076385,25.02445539
7/1/20,,15.65425149,8.410122576,-0.979345916,,20.70028415,27.14566656
8/1/20,,14.79322856,6.219283541,0.021448506,,20.72621068,27.50513801
9/1/20,,13.80489485,6.912265563,-0.699467016,,20.30326454,27.10411739
10/1/20,,16.14080588,7.141582568,2.1715072,,20.68400477,30.36978264
11/1/20,,13.92409632,5.989643694,7.21020041,,19.60911123,27.96827269
12/1/20,,14.28796973,6.448647771,0.881168457,,19.44349987,29.93328231
1/1/21,,10.6917677,2.789511341,0.776446195,,16.69925273,27.12460151
2/1/21,,10.60570965,3.356926035,0.776627381,,16.75356069,25.84280487
3/1/21,,14.72008823,11.08729279,0.661240939,,23.71024786,32.29858457
4/1/21,,17.30082479,11.6534674,5.697157113,1.453359363,19.84844953,30.19854515
5/1/21,,13.26601342,8.512587926,5.708984212,-2.364321774,18.33525142,25.7152117
6/1/21,,13.06104566,8.823616107,4.904819319,,17.18239648,27.05680326
7/1/21,,12.82605294,10.09885575,7.105549381,,17.03874121,23.42099664
8/1/21,,13.95617664,10.29537083,3.810538364,,18.93221822,27.00212991
9/1/21,,12.62004922,8.403211209,5.18825185,,17.55098574,24.13858431
10/1/21,,16.19019115,11.29761507,5.398597376,,18.42790787,24.7612268
11/1/21,,13.93697041,9.217398917,8.18523274,0.518429043,16.28869571,23.91727005
12/1/21,,12.27536302,9.167618871,4.761633785,0.609032194,15.97954782,22.59822024
1/1/22,,12.34510608,7.229883549,6.975123361,1.483049688,13.21757401,22.80743524
2/1/22,,9.707574068,6.987200566,6.556814911,8.047733265,12.97699831,20.15734835
3/1/22,8.805977051,13.89850126,12.13421511,7.218726143,5.406887729,16.37555385,23.68112799
4/1/22,7.392153669,14.15445254,11.46979529,11.20562875,8.879185395,15.87277689,21.21237026
5/1/22,7.210678415,14.17038252,11.93803328,10.33729709,9.524277084,17.67331108,15.40911262
6/1/22,9.024782819,14.07253499,12.63348509,11.54499955,9.125245441,14.26918582,16.51738172
7/1/22,,,,,,,
