Credit Score Description,(All),,,,,,
Refi Incentive(1/10th bp) Description,(All),,,,,,
,,,,,,,
Average of CPR 1M ,Column Labels,,,,,,
Row Labels,<=50,>100,>50 and <=60,>60 and <=70,>70 and <=80,>80 and <=90,>90 and <=100
8/1/17,-2.996812686,-2.262150766,-2.558206933,-3.079510913,-3.090570205,-3.434101353,-2.188509455
9/1/17,8.625808869,5.602097892,9.359291547,7.934199657,10.7835713,8.939150156,8.612160785
10/1/17,7.249582207,5.766679911,7.644720683,8.690602333,8.086334937,9.44392368,7.891375239
11/1/17,7.882440954,5.313585226,7.552874193,7.949717194,7.811048869,8.202328596,7.702761403
12/1/17,8.240631363,5.675741888,7.861694023,7.619059376,8.585659935,8.105297335,8.915474244
1/1/18,7.267475025,5.415129476,7.395579202,7.250642324,6.525930229,6.662861692,6.074450236
2/1/18,7.460108033,4.769874475,6.627353116,7.434823887,6.732782219,6.998572099,5.646974793
3/1/18,8.262951573,5.392595009,7.651874828,8.280420345,7.554753086,7.546034114,7.508801996
4/1/18,8.140091813,5.947519462,7.718687351,9.191858947,9.455876505,8.143973525,7.909665356
5/1/18,8.075341082,7.056326953,8.281917285,9.707797134,10.02915374,8.572031461,10.6441627
6/1/18,8.718544956,6.641984458,9.717722835,8.919181833,9.626426127,10.11618304,9.785815771
7/1/18,8.493669131,6.806657736,8.82094809,8.785869419,8.678317276,7.933477363,9.079524069
8/1/18,7.877191204,7.879945546,8.648026679,10.49419083,9.683084272,8.012402971,9.047310701
9/1/18,7.121861891,6.469721972,6.973271452,7.567990098,6.889290919,7.258753929,6.78701223
10/1/18,8.331540891,6.243354974,7.379173101,7.918373546,7.288293632,8.305074636,7.817609831
11/1/18,6.694609414,5.679691786,6.943471251,7.627492591,8.211629711,7.391660076,6.176396293
12/1/18,7.187164033,6.331919072,6.689984681,7.523756176,6.881960059,7.588297616,7.055855419
1/1/19,7.18664807,6.299880042,6.077476251,5.9276907,6.781085718,5.060452389,5.299542769
2/1/19,6.952201607,4.373130431,7.043353606,5.947091579,6.690618657,6.914029894,6.732201948
3/1/19,8.433498683,5.343457093,7.01231611,8.651467054,8.214965999,6.756145492,8.312852729
4/1/19,8.416780463,7.082675478,8.460804043,8.965776207,10.5284971,10.46526243,8.853025326
5/1/19,11.69100851,7.995364971,10.99379449,9.607146483,11.50427508,9.865926614,10.18929491
6/1/19,8.084403863,7.073182528,9.555543957,8.913768208,9.198849727,9.861215979,8.375399819
7/1/19,11.42813322,6.308210188,10.63257118,11.00956171,11.55420789,11.03682529,10.63151167
8/1/19,10.76282454,5.484607595,9.980191754,12.12723261,11.81207854,11.56165093,12.45328941
9/1/19,10.26718184,6.371371349,12.17058416,12.66593569,11.84882849,12.33411525,13.43900219
10/1/19,10.51693789,8.036175708,11.6403212,12.26924009,13.8423456,12.76887629,12.48199466
11/1/19,11.37963537,4.958232633,10.59254369,11.56018769,11.52020816,10.50821226,12.31621344
12/1/19,10.36301854,6.891583541,10.49702902,11.21844848,12.60664197,10.53366998,9.814833347
1/1/20,10.36277682,6.396353387,9.319700337,11.37901487,10.54248727,8.395025067,9.182655396
2/1/20,11.42865181,5.937962454,10.10196386,11.03393177,11.94200813,11.1719664,10.14928126
3/1/20,12.52417407,8.788925202,13.01279442,13.61200876,15.76397672,14.13718453,12.94931872
4/1/20,13.66718823,8.663180995,14.87185528,16.8525933,17.70047545,16.86345284,15.64495913
5/1/20,14.02435553,5.828749129,14.89195122,16.5207758,16.96773136,16.1279273,17.1580269
6/1/20,16.26864549,8.954006725,19.25437475,19.20687336,21.54305147,18.20637089,18.66944512
7/1/20,16.53286812,12.09377297,20.773513,19.53201352,22.54375774,20.38013451,18.91936865
8/1/20,16.60111874,11.3658964,20.47747303,20.36453616,22.26791304,20.00067642,17.92156392
9/1/20,17.98813748,8.161065046,22.80255359,20.65104307,21.35823858,19.08984741,18.02598159
10/1/20,18.52268278,10.99082029,21.84051779,21.47129228,24.965842,21.39718207,18.97871257
11/1/20,16.74559523,12.25676387,22.40883315,23.30586663,19.72602506,18.75910551,18.34441095
12/1/20,17.57188723,9.850224934,22.23190435,21.40103213,22.83383692,20.42820595,19.67572078
1/1/21,19.42271485,8.931435613,18.24421729,19.21778811,21.24494534,21.8933777,17.07582193
2/1/21,18.63104421,9.479542942,17.21462844,19.30596921,19.87701672,21.55555275,16.15773304
3/1/21,21.99555647,11.45448822,21.72605151,22.8833218,25.44371526,26.56371137,21.12832214
4/1/21,19.73285795,12.18519761,20.64921073,21.92181613,22.32687464,21.86885535,19.32095956
5/1/21,15.94028723,10.3119804,15.45216549,19.07548511,20.45134454,17.45392506,17.12340785
6/1/21,17.41535119,10.82653747,17.2073373,17.18185392,20.46451775,16.85429597,19.01161769
7/1/21,15.08498544,8.753701466,16.11859617,16.73578572,18.47169734,18.32208442,19.24105565
8/1/21,18.63703429,9.995554685,19.51718828,18.72584125,18.884468,20.01687258,18.35077161
9/1/21,16.20537967,9.59338085,13.9498714,19.68897833,17.25564333,19.82289048,17.02756102
10/1/21,15.36802859,12.92837319,18.38187566,17.37396534,20.75325919,18.69866429,18.77180368
11/1/21,14.08487625,8.853615074,16.00683373,15.72746884,17.05174093,19.5852107,16.92932679
12/1/21,14.03318293,10.96142055,14.60479035,14.25625338,18.04750284,16.06803588,13.20835826
1/1/22,12.9494924,12.81350714,12.15383429,14.55384251,15.50090941,14.49615871,14.81090493
2/1/22,10.91832048,9.468622227,10.53736254,11.93517677,13.38519836,13.82705676,12.20670464
3/1/22,13.25473643,10.28388086,14.3982225,14.53188199,15.80884141,17.29103053,13.74806444
4/1/22,13.30839797,9.052189143,13.21193313,14.35833408,14.56869833,14.63965498,15.35080408
5/1/22,11.02177942,10.3442358,11.89756909,11.66264501,13.54050054,14.40958977,13.0674992
6/1/22,11.19100178,10.96991353,11.51307157,12.89195649,13.61882792,13.12619209,12.06506985
7/1/22,,,,,,,
