Year,Quarter,HS_US,HSVAC_US,HSVACTRND_US,HSVACFR_US,HSVACFS_US,HSVACRS_US,HSVACHOM_US,HSVACOCUSE_US,HSVACURE_US,HSVACOTH_US,HSVACSNL_US,HSOCC_US,HSOWNOCC_US,HSRNTOCC_US,,
1999,1,118445,13984,10897,3132,1296,835,5634,1955,933,2746,3087,104461,69638,34823,,79655
1999,2,119306,14480,11024,3134,1123,1020,5747,1941,1024,2782,3456,104826,69820,35000,,80146
1999,3,119595,14455,11041,3163,1136,1112,5630,1967,996,2667,3414,105140,70476,34664,,80656
1999,4,118827,13541,10428,3046,1181,856,5345,1929,908,2508,3113,105286,70455,34831,,80094
2000,1,119105,13812,10306,2989,1161,748,5408,1858,985,2565,3506,105293,70701,34592,,80776
2000,2,116047,13773,10341,2951,1031,869,5491,1946,1137,2408,3432,102274,68752,33522,,78706
2000,3,116482,13586,10290,3009,1144,1001,5135,1856,962,2317,3296,102896,69695,33201,,79270
2000,4,116914,13268,9910,2887,1154,730,5139,1728,977,2434,3358,103646,70010,33635,,79661
2001,1,117347,13891,10458,3031,1104,769,5554,1786,1127,2641,3433,103456,69904,33552,,79995
2001,2,117786,14375,10722,3071,1258,993,5400,1827,1037,2536,3652,103411,69981,33430,,80291
2001,3,118216,13988,10578,3083,1375,944,5176,1849,941,2386,3410,104228,71004,33223,,80965
2001,4,118635,13937,10609,3243,1315,723,5328,1842,1030,2455,3328,104698,71230,33468,,81201
2002,1,119061,14342,10787,3403,1200,761,5423,1786,1076,2560,3555,104719,71011,33707,,81189
2002,2,119483,14207,10659,3176,1229,907,5347,1772,957,2618,3548,105276,71157,34119,,81281
2002,3,119909,14383,10747,3375,1218,889,5265,1793,971,2501,3635,105527,71713,33813,,81831
2002,4,120350,14591,11035,3479,1249,821,5486,1952,989,2546,3556,105759,72187,33572,,82478
2003,1,120792,14908,11370,3568,1248,830,5724,2002,1150,2572,3538,105884,71967,33917,,82477
2003,2,121233,15244,11663,3646,1256,1000,5762,2060,935,2766,3581,105989,72088,33901,,82687
2003,3,121682,15614,11859,3732,1419,1078,5631,1963,955,2713,3755,106068,72565,33503,,83370
2003,4,122159,15654,11882,3833,1339,1019,5690,1977,957,2756,3773,106505,73091,33414,,83893
2004,1,122632,15895,12168,3936,1283,942,6006,2049,1037,2920,3727,106738,73258,33479,,84274
2004,2,123099,16079,12055,3809,1272,1089,5886,1983,1076,2827,4024,107020,74107,32913,,85289
2004,3,123587,15656,11966,3836,1333,1058,5739,1976,1037,2725,3689,107932,74503,33429,,85264
2004,4,124096,15361,11804,3773,1389,910,5732,1940,1163,2629,3557,108735,75233,33502,,85911
2005,1,124611,15748,12110,3805,1401,925,5978,1996,1261,2721,3637,108863,75251,33612,,86267
2005,2,125118,16061,12107,3761,1384,1086,5875,1971,1124,2780,3954,109057,74797,34260,,86010
2005,3,125619,15883,12003,3818,1500,1207,5479,1824,1032,2623,3880,109736,75480,34256,,86339
2005,4,126104,15823,12012,3673,1585,1072,5682,1846,1148,2688,3812,110281,76119,34162,,87198
2006,1,126584,16234,12288,3718,1593,1081,5896,1856,1340,2700,3946,110350,75593,34757,,87028
2006,2,127072,16513,12498,3710,1746,1198,5845,1871,1217,2756,4015,110560,75972,34588,,87578
2006,3,127548,16769,12738,3844,1954,1172,5768,1873,1134,2761,4031,110779,76420,34359,,88173
2006,4,127991,16894,12806,3817,2121,1025,5844,1920,1149,2775,4088,111096,76544,34552,,88597
