Bank Servicer(Y/N),Orig LTV Description,Credit Score Description,Factor Date,Weighted Average Gross Coupon ,CPR 1M,CDR 1M,CCR 1M (Curtailment)
N,LowLTV,LowFICO,12/1/2021,4.442819886,23.76823453,5.767607576,0.53501813
Y,LowLTV,LowFICO,12/1/2021,4.429110903,21.73005033,5.929572986,0.567925827
N,LowLTV,LowFICO,11/1/2021,4.444405808,24.53895236,5.699338205,0.419745467
Y,LowLTV,LowFICO,11/1/2021,4.430299349,19.91381405,2.669405466,0.471867607
N,LowLTV,LowFICO,10/1/2021,4.452672861,22.77957479,4.357974013,0.399944311
Y,LowLTV,LowFICO,10/1/2021,4.436011698,20.43129649,2.303733306,0.556107376
N,LowLTV,LowFICO,9/1/2021,4.357093106,23.75828253,1.493628727,0.242446562
Y,LowLTV,LowFICO,9/1/2021,4.362112526,21.46696162,2.472986915,0.214404927
N,LowLTV,LowFICO,8/1/2021,4.357298557,24.68397893,1.599862903,0.221304052
Y,LowLTV,LowFICO,8/1/2021,4.362815109,20.77399416,2.714369018,0.212263926
N,LowLTV,LowFICO,7/1/2021,4.357233781,25.1474749,2.319139784,0.186227711
Y,LowLTV,LowFICO,7/1/2021,4.363224742,20.68678882,2.546697685,0.380935814
N,LowLTV,LowFICO,6/1/2021,4.367478447,26.08229589,1.943907763,0.203147201
Y,LowLTV,LowFICO,6/1/2021,4.370545707,21.38687916,2.493625905,0.33399854
N,LowLTV,LowFICO,5/1/2021,4.377965976,21.39855806,1.586425337,0.301810017
Y,LowLTV,LowFICO,5/1/2021,4.358899914,21.90714538,2.313553859,0.15006577
N,LowLTV,LowFICO,4/1/2021,4.378065357,25.26713829,2.308352183,0.248422087
Y,LowLTV,LowFICO,4/1/2021,4.360053616,20.7298467,1.27621866,0.333834553
N,LowLTV,LowFICO,3/1/2021,4.378207322,24.66198305,1.537110546,0.24176791
Y,LowLTV,LowFICO,3/1/2021,4.359980772,24.29557906,1.885132356,0.308848676
N,LowLTV,LowFICO,2/1/2021,4.377763951,20.56283058,,0.224356627
Y,LowLTV,LowFICO,2/1/2021,4.359935813,17.77834994,,0.14625076
N,LowLTV,LowFICO,1/1/2021,4.377660259,19.05919666,,0.213906865
Y,LowLTV,LowFICO,1/1/2021,4.358765739,17.85591046,,0.099353325
N,LowLTV,LowFICO,12/1/2020,4.377980116,23.980466,,0.207650294
Y,LowLTV,LowFICO,12/1/2020,4.360452535,21.26112041,,0.192427237
N,LowLTV,LowFICO,11/1/2020,4.377542974,22.67883842,,0.116109017
Y,LowLTV,LowFICO,11/1/2020,4.360563339,19.3517814,,0.121511438
N,LowLTV,LowFICO,10/1/2020,4.397075134,19.90949551,,0.225331703
Y,LowLTV,LowFICO,10/1/2020,4.36561772,20.75550433,,0.279022478
N,LowLTV,LowFICO,9/1/2020,4.39557981,17.85925004,,0.158591594
Y,LowLTV,LowFICO,9/1/2020,4.364168497,16.83633718,,0.154254345
N,LowLTV,LowFICO,8/1/2020,4.393231815,19.14817981,,0.060271788
Y,LowLTV,LowFICO,8/1/2020,4.361450136,17.39459588,,0.046478037
N,LowLTV,LowFICO,7/1/2020,4.389790366,17.7911801,,0.137618618
Y,LowLTV,LowFICO,7/1/2020,4.359426452,16.75883173,,0.237375516
N,LowLTV,LowFICO,6/1/2020,4.387553777,15.11546194,,0.162465715
Y,LowLTV,LowFICO,6/1/2020,4.357151149,14.60084594,,0.119803062
N,LowLTV,LowFICO,5/1/2020,4.387427936,12.9775526,,0.017510314
Y,LowLTV,LowFICO,5/1/2020,4.357704698,12.01984606,,0.082880841
N,LowLTV,LowFICO,4/1/2020,4.386764033,12.10586489,,0.03374758
Y,LowLTV,LowFICO,4/1/2020,4.357742135,13.24549274,,-0.029350511
N,LowLTV,LowFICO,3/1/2020,4.386073608,12.99186408,,0.070624698
Y,LowLTV,LowFICO,3/1/2020,4.356470179,12.09828818,,0.185361908
N,LowLTV,LowFICO,2/1/2020,4.384371764,11.0034798,,0.09016955
Y,LowLTV,LowFICO,2/1/2020,4.354586992,9.236937555,,0.093532941
N,LowLTV,LowFICO,1/1/2020,4.384056263,13.43829839,,0.061994383
Y,LowLTV,LowFICO,1/1/2020,4.352606976,10.19968842,,0.149410451
N,LowLTV,LowFICO,12/1/2019,4.384475646,13.21464652,,0.066274021
Y,LowLTV,LowFICO,12/1/2019,4.354243898,13.07664011,,0.064038234
N,LowLTV,LowFICO,11/1/2019,4.383084084,10.71007213,,0.057520716
Y,LowLTV,LowFICO,11/1/2019,4.354082213,11.8561933,,0.091516584
N,LowLTV,LowFICO,10/1/2019,4.381614846,12.67118145,,0.109505977
Y,LowLTV,LowFICO,10/1/2019,4.355161826,12.93154627,,0.056663119
N,LowLTV,LowFICO,9/1/2019,4.377627329,11.89870381,,0.080426269
Y,LowLTV,LowFICO,9/1/2019,4.353421972,11.9740636,,0.058068045
N,LowLTV,LowFICO,8/1/2019,4.504428518,13.34760691,,0.231448721
Y,LowLTV,LowFICO,8/1/2019,4.457972629,12.15764771,,0.301419219
N,LowLTV,LowFICO,7/1/2019,4.503553819,13.33899811,,0.205055089
Y,LowLTV,LowFICO,7/1/2019,4.456520223,11.14541341,,0.229591357
N,LowLTV,LowFICO,6/1/2019,4.502676487,11.68677702,,0.213239855
Y,LowLTV,LowFICO,6/1/2019,4.455524915,10.81590284,,0.207540806
N,LowLTV,LowFICO,5/1/2019,4.363401187,11.38395771,,0.310725491
Y,LowLTV,LowFICO,5/1/2019,4.337126878,11.02379817,,0.363337935
N,LowLTV,LowFICO,4/1/2019,4.361227416,9.830274188,,0.100948421
Y,LowLTV,LowFICO,4/1/2019,4.334092517,9.64477357,,0.160681927
N,LowLTV,LowFICO,3/1/2019,4.358070448,9.571501397,,0.256353949
Y,LowLTV,LowFICO,3/1/2019,4.329542073,8.910012755,,0.106876898
N,LowLTV,LowFICO,2/1/2019,4.353337065,9.732609664,,0.324019577
Y,LowLTV,LowFICO,2/1/2019,4.325370698,7.834381734,,0.157779308
N,LowLTV,LowFICO,1/1/2019,4.350854423,8.975400084,,0.201103907
Y,LowLTV,LowFICO,1/1/2019,4.319631288,7.961980143,,0.245240674
N,LowLTV,LowFICO,12/1/2018,4.348425817,9.721898234,,0.174930708
Y,LowLTV,LowFICO,12/1/2018,4.31753703,8.921267398,,0.224055108
N,LowLTV,LowFICO,11/1/2018,4.345046918,10.53549151,,0.196871445
Y,LowLTV,LowFICO,11/1/2018,4.314545973,9.349589321,,0.290268658
N,LowLTV,LowFICO,10/1/2018,4.322722234,11.15469032,,0.152726399
Y,LowLTV,LowFICO,10/1/2018,4.297026546,10.14673437,,0.295142849
N,LowLTV,LowFICO,9/1/2018,4.318291949,10.77488626,,0.091061473
Y,LowLTV,LowFICO,9/1/2018,4.292529804,10.60290087,,0.204264189
N,LowLTV,LowFICO,8/1/2018,4.31306104,13.8045474,,0.172402667
Y,LowLTV,LowFICO,8/1/2018,4.284085352,12.01733222,,0.375004096
N,LowLTV,LowFICO,7/1/2018,4.303331087,13.23925155,,0.177382983
Y,LowLTV,LowFICO,7/1/2018,4.271946495,11.887428,,0.364158435
N,LowLTV,LowFICO,6/1/2018,4.296385298,14.70623279,,0.154585969
Y,LowLTV,LowFICO,6/1/2018,4.261410209,13.27118718,,0.422323732
N,LowLTV,LowFICO,5/1/2018,4.288021669,13.59109862,,0.249678359
Y,LowLTV,LowFICO,5/1/2018,4.25192622,13.3466479,,0.304192315
N,LowLTV,LowFICO,4/1/2018,4.271856747,11.84839814,,0.162855151
Y,LowLTV,LowFICO,4/1/2018,4.236648644,12.88979532,,0.30015261
N,LowLTV,LowFICO,3/1/2018,4.257645308,11.76275863,,0.242986597
Y,LowLTV,LowFICO,3/1/2018,4.222273474,12.15100361,,0.301350231
N,LowLTV,LowFICO,2/1/2018,4.240495091,13.02316812,,0.185849675
Y,LowLTV,LowFICO,2/1/2018,4.203922214,11.09048337,,0.334863321
N,LowLTV,LowFICO,1/1/2018,4.225910371,13.06034111,,0.129664375
Y,LowLTV,LowFICO,1/1/2018,4.183176508,12.85156715,,0.341495486
N,LowLTV,LowFICO,12/1/2017,4.212543807,13.44469641,,0.258157955
Y,LowLTV,LowFICO,12/1/2017,4.167980961,14.65717208,,0.383527706
N,LowLTV,LowFICO,11/1/2017,4.200569888,14.98957357,,0.152877862
Y,LowLTV,LowFICO,11/1/2017,4.153111313,15.05342268,,0.432234011
N,LowLTV,LowFICO,10/1/2017,4.155092217,15.70843118,,0.130661588
Y,LowLTV,LowFICO,10/1/2017,4.123908053,15.17661352,,0.317965164
N,LowLTV,LowFICO,9/1/2017,4.139895397,14.88056796,,0.12287513
Y,LowLTV,LowFICO,9/1/2017,4.114684332,14.07936614,,0.39666394
N,LowLTV,LowFICO,8/1/2017,7.559820611,7.587715553,,0.312391092
Y,LowLTV,LowFICO,8/1/2017,6.5923115,5.28816404,,0.585273781
N,LowLTV,LowFICO,7/1/2017,7.562856685,0.644299173,,0.644299173
Y,LowLTV,LowFICO,7/1/2017,6.546610834,23.61057684,,3.627965048
N,LowLTV,LowFICO,6/1/2017,7.545355955,21.15387597,,0.432789936
Y,LowLTV,LowFICO,6/1/2017,6.559378883,2.583594616,,0.756463618
N,LowLTV,LowFICO,5/1/2017,7.554075786,9.373912712,,0.764409498
Y,LowLTV,LowFICO,5/1/2017,6.587939308,14.18891138,,0.613955123
N,LowLTV,LowFICO,4/1/2017,7.556562339,3.231994617,,1.633201927
Y,LowLTV,LowFICO,4/1/2017,6.597363221,0.626778399,,0.575923578
N,LowLTV,LowFICO,3/1/2017,7.559594736,1.783835717,,1.783835717
Y,LowLTV,LowFICO,3/1/2017,6.579206647,14.66208153,,0.72382339
N,LowLTV,LowFICO,2/1/2017,7.581054344,0.605328069,,0.605328069
Y,LowLTV,LowFICO,2/1/2017,6.575138398,3.215792941,,0.779027326
N,LowLTV,LowFICO,1/1/2017,7.58568661,3.711952656,,3.711952656
Y,LowLTV,LowFICO,1/1/2017,6.591876277,10.24240108,,0.748279124
