Week,30YR,30YR1A,30YR1B,30YR1C,30YR1D,30YR1E,30YR2A,30YR2B,30YR2C,30YR2D,30YR2E
1/2/15,4.171%,4.542%,4.242%,4.122%,4.057%,3.994%,4.535%,4.372%,4.298%,4.190%,4.139%
1/5/15,4.122%,4.484%,4.265%,4.154%,4.038%,3.967%,4.534%,4.300%,4.289%,4.157%,4.090%
1/6/15,4.022%,4.387%,4.120%,4.029%,3.914%,3.870%,4.441%,4.264%,4.190%,4.112%,4.032%
1/7/15,4.035%,4.392%,4.155%,4.054%,3.974%,3.872%,4.475%,4.266%,4.218%,4.074%,4.026%
1/8/15,4.062%,4.433%,4.160%,4.054%,3.958%,3.894%,4.487%,4.349%,4.285%,4.145%,4.042%
1/9/15,4.045%,4.425%,4.157%,4.139%,3.928%,3.877%,4.471%,4.272%,4.112%,4.117%,4.020%
1/12/15,4.015%,4.422%,4.126%,4.024%,3.887%,3.853%,4.503%,4.244%,4.231%,4.071%,3.985%
1/13/15,4.013%,4.430%,4.120%,4.031%,3.921%,3.844%,4.470%,4.250%,4.139%,4.051%,4.031%
1/14/15,3.926%,4.270%,4.067%,3.935%,3.864%,3.791%,4.362%,4.179%,4.084%,4.032%,3.917%
1/15/15,3.909%,4.357%,4.001%,3.857%,3.826%,3.763%,4.394%,4.205%,4.034%,4.037%,3.929%
1/16/15,3.937%,4.307%,4.033%,3.982%,3.852%,3.793%,4.394%,4.203%,4.098%,3.989%,3.932%
1/20/15,3.936%,4.329%,4.056%,3.992%,3.866%,3.799%,4.384%,4.174%,4.098%,4.007%,3.912%
1/21/15,3.974%,4.333%,4.052%,3.985%,3.919%,3.836%,4.393%,4.217%,4.168%,4.039%,3.958%
1/22/15,3.989%,4.359%,4.127%,3.968%,3.908%,3.834%,4.404%,4.250%,4.172%,4.027%,4.006%
1/23/15,3.953%,4.356%,4.065%,3.999%,3.898%,3.808%,4.424%,4.134%,4.085%,4.063%,3.939%
1/26/15,3.951%,4.308%,4.092%,3.960%,3.893%,3.815%,4.431%,4.143%,4.128%,3.986%,3.927%
1/27/15,3.952%,4.357%,4.064%,3.939%,3.883%,3.811%,4.479%,4.203%,4.147%,4.025%,3.943%
1/28/15,3.945%,4.338%,4.062%,3.974%,3.841%,3.809%,4.460%,4.171%,4.091%,3.993%,3.916%
1/29/15,3.915%,4.253%,4.019%,3.905%,3.842%,3.788%,4.416%,4.197%,4.043%,4.024%,3.913%
1/30/15,3.876%,4.219%,3.987%,3.889%,3.782%,3.752%,4.318%,4.094%,4.070%,3.924%,3.894%
2/2/15,3.878%,4.271%,3.985%,3.912%,3.834%,3.735%,4.343%,4.137%,4.032%,3.929%,3.853%
2/3/15,3.911%,4.261%,4.026%,3.927%,3.838%,3.763%,4.359%,4.126%,4.083%,3.964%,3.909%
2/4/15,3.956%,4.352%,4.088%,3.926%,3.862%,3.805%,4.392%,4.165%,4.071%,4.044%,3.928%
2/5/15,3.953%,4.364%,4.066%,3.952%,3.892%,3.805%,4.416%,4.137%,4.063%,4.006%,3.928%
2/6/15,3.997%,4.376%,4.144%,3.981%,3.925%,3.837%,4.490%,4.235%,4.201%,4.053%,3.972%
