Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
08/01/06,14.4291041,9.337211711,6.56179366,6.80212248,6.709593722,6.150640218,8.14381856,8.422778178,15.95539719,15.2512202,33.61358603,131.377266
09/01/06,16.51667047,6.425554471,6.831760528,6.110390295,5.583013752,6.450474532,10.37412443,10.41036723,10.37628423,7.85834348,17.68321024,104.6201937
10/01/06,23.88263657,8.419245864,8.916396497,7.888293888,7.554874998,7.338961518,9.687414341,8.925088978,23.73416477,10.45138795,17.48795776,134.2864231
11/01/06,27.57445693,8.557235891,7.393645332,7.384676822,7.443825936,9.339045153,9.606133982,11.04471681,15.22965181,9.500402928,16.18252765,129.2563192
12/01/06,29.21107696,8.443302059,9.033368821,8.753812561,9.802294826,11.22558458,16.11890983,13.76190267,23.1624661,10.29867839,16.91253996,156.7239368
01/01/07,34.82410304,8.60996777,8.419170119,7.829615546,8.738704034,9.60969495,11.66098862,20.30659806,20.4269576,10.66029553,17.31460709,158.4007024
02/01/07,29.26053884,7.584279795,7.398271144,6.927523017,6.537468648,7.426911653,7.386498632,12.29571061,16.03399301,8.47096343,14.3413142,123.663473
03/01/07,33.98122726,8.775955412,7.837669657,8.340695005,9.186811059,11.12054589,12.35120266,12.58215366,23.41284894,10.96771364,18.32514614,156.8819693
04/01/07,39.27780042,8.482236755,7.928960719,8.342404405,9.205553091,7.421931632,12.71079477,17.52159623,26.41495054,10.40637325,16.68156993,164.3941717
05/01/07,40.39806667,7.76024615,7.979143163,8.405108509,10.2947135,7.693142251,14.33195313,19.54408358,31.15064981,9.845667053,16.76799957,174.1707734
06/01/07,37.05728442,7.96394587,7.379867775,7.239082479,8.632233281,10.73785956,12.62036899,16.11916538,29.26125993,9.92737603,15.84322873,162.7816724
07/01/07,30.57690572,9.285001053,7.44807049,6.821152728,5.870331851,8.445854758,10.26895957,13.01169308,12.96848962,11.46581776,22.05587012,138.2181468
08/01/07,20.9273641,8.457994106,7.279242573,5.803641718,6.168350561,7.137167753,8.878367196,10.29854497,11.4831332,11.2660071,20.45008587,118.1498991
09/01/07,18.28984083,6.030406449,4.931436072,4.646258972,4.983756505,6.34859678,6.338378955,10.59251562,10.06486768,7.409749579,14.52134903,94.15715647
10/01/07,14.73641321,6.910578937,5.924337778,5.437352502,6.720766041,7.326993842,10.91522225,11.88673106,17.66414097,8.595161448,14.81373532,110.9314334
11/01/07,19.32620378,6.842020065,5.796880504,5.410808498,6.482098567,7.439364244,9.07488802,15.67949697,18.96612888,8.870509542,14.7409556,118.6293547
12/01/07,50.36177724,7.026244806,6.165758495,7.214854132,8.734039794,11.03100111,17.34463133,31.44774353,47.65025436,8.461999631,11.64538015,207.0836846
